step,layer,prompt,base_dec_MD,base_dec_MO,base_dec_AD,base_dec_AO,base_dec_P_M,base_dec_P_D,base_dec_chi,base_dec_det,own_dec_MD,own_dec_MO,own_dec_AD,own_dec_AO,own_dec_P_M,own_dec_P_D,own_dec_chi,own_dec_det,D_p_next_S_M,D_p_next_S_A,O_p_next_S_M,O_p_next_S_A,D_rollout_MD,D_rollout_MO,D_rollout_AD,D_rollout_AO,D_rollout_no_sector,D_rollout_incoherent,D_coh_deficit,D_coh_impossible_rate,D_dispo_MD,D_dispo_MO,D_dispo_AD,D_dispo_AO,O_rollout_MD,O_rollout_MO,O_rollout_AD,O_rollout_AO,O_rollout_no_sector,O_rollout_incoherent,O_coh_deficit,O_coh_impossible_rate,O_dispo_MD,O_dispo_MO,O_dispo_AD,O_dispo_AO,D_set_rollout_MD,D_set_rollout_MO,D_set_rollout_AD,D_set_rollout_AO,D_set_rollout_no_sector,D_set_rollout_incoherent,D_set_rollout_MO_bp_std,D_set_coh_deficit,D_set_coh_impossible_rate,D_set_dispo_MD,D_set_dispo_MO,D_set_dispo_AD,D_set_dispo_AO,D_set_coh_deficit_bp_std,O_set_rollout_MD,O_set_rollout_MO,O_set_rollout_AD,O_set_rollout_AO,O_set_rollout_no_sector,O_set_rollout_incoherent,O_set_rollout_MO_bp_std,O_set_coh_deficit,O_set_coh_impossible_rate,O_set_dispo_MD,O_set_dispo_MO,O_set_dispo_AD,O_set_dispo_AO,O_set_coh_deficit_bp_std
0,0,D,0.054764633274153596,-0.06429670767662188,0.9888171348921357,0.020714939510325214,-0.009532074402460677,1.043581768166305,-0.8490408544312515,0.0,0.054764633274153596,-0.06429670767662188,0.9888171348921357,0.020714939510325214,-0.009532074402460677,1.043581768166305,-0.8490408544312515,0.0,0.0007509577553719282,5.814418946314959e-10,0.0009709164733067155,3.2905581037745435e-10,0.0029296875,0.0,0.0,0.0,0.9970703125,0.0,0.00010726136864665768,0.0,0.0029296875,0.0,0.9384765625,0.05859375,0.0,0.00390625,0.0,0.0,0.994140625,0.001953125,0.0007125840992491014,0.0,0.0,0.00390625,0.076171875,0.919921875,0.0009765625,0.0,0.0,0.0,0.998046875,0.0009765625,0.0,0.00027554919659874915,0.0,0.0009765625,0.0,0.962890625,0.0361328125,0.0027903053705615687,0.0,0.001953125,0.0,0.0,0.998046875,0.0,0.010874539771152386,0.0005593203683161858,0.0,0.0,0.0009765625,0.068359375,0.9306640625,0.0024757368028645852
0,0,O,-0.011094107255676278,0.005432372081225267,-0.03102928293664764,1.0366910181111184,-0.005661735174456728,-0.042123390192314425,1.0511938217106334,0.0,-0.011094107255676278,0.005432372081225267,-0.03102928293664764,1.0366910181111184,-0.005661735174456728,-0.042123390192314425,1.0511938217106334,0.0,0.0007509577553719282,5.814418946314959e-10,0.0009709164733067155,3.2905581037745435e-10,0.0029296875,0.0,0.0,0.0,0.9970703125,0.0,0.00010726136864665768,0.0,0.0029296875,0.0,0.9384765625,0.05859375,0.0,0.00390625,0.0,0.0,0.994140625,0.001953125,0.0007125840992491014,0.0,0.0,0.00390625,0.076171875,0.919921875,0.0009765625,0.0,0.0,0.0,0.998046875,0.0009765625,0.0,0.00027554919659874915,0.0,0.0009765625,0.0,0.962890625,0.0361328125,0.0027903053705615687,0.0,0.001953125,0.0,0.0,0.998046875,0.0,0.010874539771152386,0.0005593203683161858,0.0,0.0,0.0009765625,0.068359375,0.9306640625,0.0024757368028645852
0,1,D,-0.16364293055681323,0.16751102463540946,1.0497345430795875,-0.053602637158135735,0.003868094078545714,0.8860916125228134,-1.4344911354299121,0.0,-0.16364293055681323,0.16751102463540946,1.0497345430795875,-0.053602637158135735,0.003868094078545714,0.8860916125228134,-1.4344911354299121,0.0,0.0007509577553719282,5.814418946314959e-10,0.0009709164733067155,3.2905581037745435e-10,0.0029296875,0.0,0.0,0.0,0.9970703125,0.0,0.00010726136864665768,0.0,0.0029296875,0.0,0.9384765625,0.05859375,0.0,0.00390625,0.0,0.0,0.994140625,0.001953125,0.0007125840992491014,0.0,0.0,0.00390625,0.076171875,0.919921875,0.0009765625,0.0,0.0,0.0,0.998046875,0.0009765625,0.0,0.00027554919659874915,0.0,0.0009765625,0.0,0.962890625,0.0361328125,0.0027903053705615687,0.0,0.001953125,0.0,0.0,0.998046875,0.0,0.010874539771152386,0.0005593203683161858,0.0,0.0,0.0009765625,0.068359375,0.9306640625,0.0024757368028645852
0,1,O,-0.2241467195081812,0.2258453335242736,-0.009651694998645155,1.007953080982599,0.0016986140160359375,-0.23379841450676675,0.567612722948887,0.0,-0.2241467195081812,0.2258453335242736,-0.009651694998645155,1.007953080982599,0.0016986140160359375,-0.23379841450676675,0.567612722948887,0.0,0.0007509577553719282,5.814418946314959e-10,0.0009709164733067155,3.2905581037745435e-10,0.0029296875,0.0,0.0,0.0,0.9970703125,0.0,0.00010726136864665768,0.0,0.0029296875,0.0,0.9384765625,0.05859375,0.0,0.00390625,0.0,0.0,0.994140625,0.001953125,0.0007125840992491014,0.0,0.0,0.00390625,0.076171875,0.919921875,0.0009765625,0.0,0.0,0.0,0.998046875,0.0009765625,0.0,0.00027554919659874915,0.0,0.0009765625,0.0,0.962890625,0.0361328125,0.0027903053705615687,0.0,0.001953125,0.0,0.0,0.998046875,0.0,0.010874539771152386,0.0005593203683161858,0.0,0.0,0.0009765625,0.068359375,0.9306640625,0.0024757368028645852
0,2,D,0.02793281722551999,-0.01722112787497876,0.9694239044823809,0.019864406167090176,0.010711689350535236,0.9973567217079056,-0.904405553214809,0.0,0.02793281722551999,-0.01722112787497876,0.9694239044823809,0.019864406167090176,0.010711689350535236,0.9973567217079056,-0.904405553214809,0.0,0.0007509577553719282,5.814418946314959e-10,0.0009709164733067155,3.2905581037745435e-10,0.0029296875,0.0,0.0,0.0,0.9970703125,0.0,0.00010726136864665768,0.0,0.0029296875,0.0,0.9384765625,0.05859375,0.0,0.00390625,0.0,0.0,0.994140625,0.001953125,0.0007125840992491014,0.0,0.0,0.00390625,0.076171875,0.919921875,0.0009765625,0.0,0.0,0.0,0.998046875,0.0009765625,0.0,0.00027554919659874915,0.0,0.0009765625,0.0,0.962890625,0.0361328125,0.0027903053705615687,0.0,0.001953125,0.0,0.0,0.998046875,0.0,0.010874539771152386,0.0005593203683161858,0.0,0.0,0.0009765625,0.068359375,0.9306640625,0.0024757368028645852
0,2,O,-0.020405400769643478,0.035960236366259446,0.01932054592435062,0.9651246184790166,0.015554835596641059,-0.0010848548452777051,0.8894384354187578,0.0,-0.020405400769643478,0.035960236366259446,0.01932054592435062,0.9651246184790166,0.015554835596641059,-0.0010848548452777051,0.8894384354187578,0.0,0.0007509577553719282,5.814418946314959e-10,0.0009709164733067155,3.2905581037745435e-10,0.0029296875,0.0,0.0,0.0,0.9970703125,0.0,0.00010726136864665768,0.0,0.0029296875,0.0,0.9384765625,0.05859375,0.0,0.00390625,0.0,0.0,0.994140625,0.001953125,0.0007125840992491014,0.0,0.0,0.00390625,0.076171875,0.919921875,0.0009765625,0.0,0.0,0.0,0.998046875,0.0009765625,0.0,0.00027554919659874915,0.0,0.0009765625,0.0,0.962890625,0.0361328125,0.0027903053705615687,0.0,0.001953125,0.0,0.0,0.998046875,0.0,0.010874539771152386,0.0005593203683161858,0.0,0.0,0.0009765625,0.068359375,0.9306640625,0.0024757368028645852
1,0,D,0.054764633274153596,-0.06429670767662188,0.9888171348921357,0.020714939510325214,-0.009532074402460677,1.043581768166305,-0.8490408544312515,0.0,0.054764633274153596,-0.06429670767662188,0.9888171348921357,0.020714939510325214,-0.009532074402460677,1.043581768166305,-0.8490408544312515,0.0,0.0007880672928877175,5.706730643595392e-10,0.0010511277941986918,3.535871317961181e-10,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.000856601438445101,0.0,0.001953125,0.0,0.9345703125,0.0634765625,0.0,0.001953125,0.0,0.0,0.998046875,0.0,2.109444456794814e-05,0.0,0.0,0.001953125,0.0625,0.935546875,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.0,0.0010972515676895157,0.0,0.0,0.0,0.96875,0.03125,0.0018635701878575044,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.007751224544134543,0.000798487200230328,0.0,0.0,0.0009765625,0.0546875,0.9443359375,0.0020432415620765996
1,0,O,-0.011094107255676278,0.005432372081225267,-0.03102928293664764,1.0366910181111184,-0.005661735174456728,-0.042123390192314425,1.0511938217106334,0.0,-0.011094107255676278,0.005432372081225267,-0.03102928293664764,1.0366910181111184,-0.005661735174456728,-0.042123390192314425,1.0511938217106334,0.0,0.0007880672928877175,5.706730643595392e-10,0.0010511277941986918,3.535871317961181e-10,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.000856601438445101,0.0,0.001953125,0.0,0.9345703125,0.0634765625,0.0,0.001953125,0.0,0.0,0.998046875,0.0,2.109444456794814e-05,0.0,0.0,0.001953125,0.0625,0.935546875,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.0,0.0010972515676895157,0.0,0.0,0.0,0.96875,0.03125,0.0018635701878575044,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.007751224544134543,0.000798487200230328,0.0,0.0,0.0009765625,0.0546875,0.9443359375,0.0020432415620765996
1,1,D,-0.16364293055681323,0.16751102463540946,1.0497345430795875,-0.053602637158135735,0.003868094078545714,0.8860916125228134,-1.4344911354299121,0.0,-0.16364293055681323,0.16751102463540946,1.0497345430795875,-0.053602637158135735,0.003868094078545714,0.8860916125228134,-1.4344911354299121,0.0,0.0007880672928877175,5.706730643595392e-10,0.0010511277941986918,3.535871317961181e-10,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.000856601438445101,0.0,0.001953125,0.0,0.9345703125,0.0634765625,0.0,0.001953125,0.0,0.0,0.998046875,0.0,2.109444456794814e-05,0.0,0.0,0.001953125,0.0625,0.935546875,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.0,0.0010972515676895157,0.0,0.0,0.0,0.96875,0.03125,0.0018635701878575044,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.007751224544134543,0.000798487200230328,0.0,0.0,0.0009765625,0.0546875,0.9443359375,0.0020432415620765996
1,1,O,-0.2241467195081812,0.2258453335242736,-0.009651694998645155,1.007953080982599,0.0016986140160359375,-0.23379841450676675,0.567612722948887,0.0,-0.2241467195081812,0.2258453335242736,-0.009651694998645155,1.007953080982599,0.0016986140160359375,-0.23379841450676675,0.567612722948887,0.0,0.0007880672928877175,5.706730643595392e-10,0.0010511277941986918,3.535871317961181e-10,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.000856601438445101,0.0,0.001953125,0.0,0.9345703125,0.0634765625,0.0,0.001953125,0.0,0.0,0.998046875,0.0,2.109444456794814e-05,0.0,0.0,0.001953125,0.0625,0.935546875,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.0,0.0010972515676895157,0.0,0.0,0.0,0.96875,0.03125,0.0018635701878575044,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.007751224544134543,0.000798487200230328,0.0,0.0,0.0009765625,0.0546875,0.9443359375,0.0020432415620765996
1,2,D,0.02793281722551999,-0.01722112787497876,0.9694239044823809,0.019864406167090176,0.010711689350535236,0.9973567217079056,-0.904405553214809,0.0,0.02793281722551999,-0.01722112787497876,0.9694239044823809,0.019864406167090176,0.010711689350535236,0.9973567217079056,-0.904405553214809,0.0,0.0007880672928877175,5.706730643595392e-10,0.0010511277941986918,3.535871317961181e-10,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.000856601438445101,0.0,0.001953125,0.0,0.9345703125,0.0634765625,0.0,0.001953125,0.0,0.0,0.998046875,0.0,2.109444456794814e-05,0.0,0.0,0.001953125,0.0625,0.935546875,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.0,0.0010972515676895157,0.0,0.0,0.0,0.96875,0.03125,0.0018635701878575044,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.007751224544134543,0.000798487200230328,0.0,0.0,0.0009765625,0.0546875,0.9443359375,0.0020432415620765996
