step,layer,prompt,base_dec_MD,base_dec_MO,base_dec_AD,base_dec_AO,base_dec_P_M,base_dec_P_D,base_dec_chi,own_dec_MD,own_dec_MO,own_dec_AD,own_dec_AO,own_dec_P_M,own_dec_P_D,own_dec_chi,D_p_next_S_M,D_p_next_S_A,O_p_next_S_M,O_p_next_S_A
0,0,D,0.05041399156794313,-0.053835721498007416,0.8819045662728584,0.12151716365722898,-0.0034217299300870266,0.9323185578407547,-0.656137689549596,0.05041399156794313,-0.053835721498007416,0.8819045662728584,0.12151716365722898,-0.0034217299300870266,0.9323185578407547,-0.656137689549596,0.0005690073012374341,2.3850428298999304e-09,0.0018920331494882703,2.339563820452639e-10
0,0,O,0.012840271736980213,0.024069301343853766,-0.07982763271332338,1.0429180596325152,0.03690957308083913,-0.06698736097641178,1.111516662739288,0.012840271736980213,0.024069301343853766,-0.07982763271332338,1.0429180596325152,0.03690957308083913,-0.06698736097641178,1.111516662739288,0.0005690073012374341,2.3850428298999304e-09,0.0018920331494882703,2.339563820452639e-10
0,1,D,0.039729342889306185,-0.018587539179432566,0.9705450789896659,0.008313117300524642,0.021141803709831743,1.010274421878993,-0.9039150796205576,0.039729342889306185,-0.018587539179432566,0.9705450789896659,0.008313117300524642,0.021141803709831743,1.010274421878993,-0.9039150796205576,0.0005690073012374341,2.3850428298999304e-09,0.0018920331494882703,2.339563820452639e-10
0,1,O,-0.01509039186676464,0.03576819856945446,0.009993547307896478,0.9693286459893993,0.020677806702706338,-0.005096844558862057,0.9084765082453341,-0.01509039186676464,0.03576819856945446,0.009993547307896478,0.9693286459893993,0.020677806702706338,-0.005096844558862057,0.9084765082453341,0.0005690073012374341,2.3850428298999304e-09,0.0018920331494882703,2.339563820452639e-10
0,2,D,0.03496536235790311,-0.014130253827799644,0.9704962756387193,0.008668615831156301,0.02083510853008689,1.005461637996641,-0.9127320436219158,0.03496536235790311,-0.014130253827799644,0.9704962756387193,0.008668615831156301,0.02083510853008689,1.005461637996641,-0.9127320436219158,0.0005690073012374341,2.3850428298999304e-09,0.0018920331494882703,2.339563820452639e-10
0,2,O,0.006819288684817473,0.009351465283855331,-0.00020238582215947876,0.984031631853479,0.016170753968676045,0.006616902862661034,0.9817018410766069,0.006819288684817473,0.009351465283855331,-0.00020238582215947876,0.984031631853479,0.016170753968676045,0.006616902862661034,0.9817018410766069,0.0005690073012374341,2.3850428298999304e-09,0.0018920331494882703,2.339563820452639e-10
1,0,D,0.3702585225274184,-0.009615861673651693,1.0202144408278429,-0.3808571016815554,0.36064266085371244,1.39047296335525,-1.0211971583081632,0.06496767890952881,-0.06289935860566587,0.8624537612927663,0.1354779184033562,0.0020683203038500617,0.927421440202224,-0.5991088053743499,0.001093431143090129,2.5097799394302456e-09,0.0038220426067709923,2.9497129738764727e-10
1,0,O,0.4819226869832498,-0.12121800265254024,-0.014493662981691635,0.6537889786509732,0.3607046843307418,0.4674290240016796,1.271423331268775,0.006796805548642482,0.03557298288881938,-0.08368053138726128,1.0413107429498265,0.04236978843740223,-0.0768837258387629,1.0962150969966529,0.001093431143090129,2.5097799394302456e-09,0.0038220426067709923,2.9497129738764727e-10
1,1,D,-0.5555022829638254,0.36777950186486774,1.3266446421196543,-0.13892186102060222,-0.1877227810990166,0.7711423591558408,-2.388848287969101,0.031163505514789747,-0.012814740777739697,0.9758892579139871,0.005761977348837988,0.018348764737099572,1.0070527634287982,-0.9261490342726582,0.001093431143090129,2.5097799394302456e-09,0.0038220426067709923,2.9497129738764727e-10
1,1,O,0.007505686592498506,-0.062369965639271774,-0.0377517338006903,1.0926160128474645,-0.05486427904675255,-0.030246047208196236,1.2002433988799712,-0.0244924289136792,0.04283939443226972,0.016036117685715556,0.9656169167956756,0.01834696551858831,-0.008456311227942326,0.8822489757640182,0.001093431143090129,2.5097799394302456e-09,0.0038220426067709923,2.9497129738764727e-10
1,2,D,-0.08850242296109227,0.03295434890640325,0.9625173944416122,0.09303067961304784,-0.05554807405470481,0.8740149714805452,-0.9909434866961129,0.04643648493024144,-0.017374074756264846,0.9635699617271335,0.007367628098883416,0.029062410173988595,1.010006446657371,-0.8923917739417475,0.001093431143090129,2.5097799394302456e-09,0.0038220426067709923,2.9497129738764727e-10
