pi0,seed,method,layer,context,n_ctx_rows,delta_MD,z_MD,delta_MO,z_MO,delta_AD,z_AD,delta_AO,z_AO,delta_P_M,z_P_M,delta_P_D,z_P_D,delta_chi,z_chi,delta_det,z_det
"0.04,0.01,0.46,0.49",1,sgd_accum,0,all,61440,-5.503352355526058e-05,-0.00027041930523817814,3.864920289071356e-05,0.00037397430882926507,4.83301915919171e-05,0.00010512030985184459,-3.194587092802176e-05,-6.936647638848565e-05,-1.6384320664701956e-05,-7.066777057012571e-05,-6.70333196288411e-06,-1.4588972409508797e-05,-0.00017395878896667275,-0.00018949047611058268,-9.478091115488714e-08,-0.000761580143908762
"0.04,0.01,0.46,0.49",1,sgd_accum,0,Octx,25218,-4.0898731417290666e-05,-0.00020096489958309054,2.1285283833383385e-05,0.0002059589516589204,-1.114111272322248e-05,-2.423241421114795e-05,3.07545603067043e-05,6.677969388156444e-05,-1.961344758428466e-05,-8.45954276860235e-05,-5.203984413995588e-05,-0.00011325828029353704,-2.028834222111747e-05,-2.2099760810076177e-05,-5.5748912922376485e-08,-0.000447951645630401
"0.04,0.01,0.46,0.49",1,sgd_accum,0,Dctx,26171,-5.735131616094928e-05,-0.0002818082882729853,4.906081059950317e-05,0.00047471827003607163,0.00010480854566093354,0.00022796323441103716,-9.65180401006342e-05,-0.00020957689226218094,-8.290505561551556e-06,-3.575806143713155e-05,4.745722950074776e-05,0.0001032847866779749,-0.00030773871252339266,-0.0003352147683948708,-1.301791247720751e-07,-0.0010460105876785681
"0.04,0.01,0.46,0.49",1,sgd_accum,1,all,61440,-5.239429537617619e-06,-2.5745087791521416e-05,-5.593314320323302e-06,-5.4121578210098974e-05,6.206573670284897e-07,1.34995729552987e-06,1.0212086490999982e-05,2.217427278946906e-05,-1.0832743857989264e-05,-4.6723075876472375e-05,-4.618772170669275e-06,-1.0052186007913219e-05,9.94531390663626e-06,1.0833268490957057e-05,8.572162329169326e-09,6.887872822397343e-05
"0.04,0.01,0.46,0.49",1,sgd_accum,1,Octx,25218,-2.9049027284178474e-06,-1.4273877572357502e-05,4.700949133407638e-07,4.548694595277322e-06,-2.7567258890021976e-06,-5.996001052000336e-06,5.191533704241036e-06,1.1272768268758657e-05,-2.4348078151546056e-06,-1.0501652377591858e-05,-5.66162861757296e-06,-1.232183400016487e-05,4.5732619514091775e-06,4.981579773569014e-06,-3.3952921813681174e-09,-2.7281728742542224e-05
"0.04,0.01,0.46,0.49",1,sgd_accum,1,Dctx,26171,-6.374974945876272e-06,-3.132483955972081e-05,-7.746661637137666e-06,-7.495762434414478e-05,3.754305705727736e-06,8.165781389756602e-06,1.0367330877337816e-05,2.2511366621833554e-05,-1.4121636583044542e-05,-6.0908510920152886e-05,-2.6206692401761112e-06,-5.703562265910514e-06,7.984711862828057e-06,8.697616610696076e-06,1.4463074650189365e-08,0.00011621317350974247
"0.04,0.01,0.46,0.49",1,sgd_accum,2,all,61440,-8.027770344543417e-06,-3.944621276163174e-05,3.0466115668739436e-06,2.9479377833861763e-05,1.8962074919662847e-06,4.124335379879221e-06,3.084951285705187e-06,6.698587150797981e-06,-4.9811587776756245e-06,-2.1484405296858377e-05,-6.131562852574732e-06,-1.3344587703350823e-05,-9.885638117716592e-06,-1.0768264625835709e-05,3.3502821064196096e-08,0.0002692006541878907
"0.04,0.01,0.46,0.49",1,sgd_accum,2,Octx,25218,-5.385155649597063e-06,-2.6461145049184963e-05,2.168086885286709e-06,2.097866796113687e-05,-5.3655968027736905e-08,-1.1670410976437506e-07,3.2707247323514143e-06,7.10197103190825e-06,-3.217068764310392e-06,-1.3875648676382896e-05,-5.438811617634928e-06,-1.1836900375742835e-05,-4.228861834545289e-06,-4.606430334413161e-06,2.9618552334157705e-08,0.00023798991879446534
"0.04,0.01,0.46,0.49",1,sgd_accum,2,Dctx,26171,-7.953391669661812e-06,-3.90807368064928e-05,4.098598085262635e-06,3.965852518198583e-05,2.622104986965654e-06,5.703194620482216e-06,1.2326885974432205e-06,2.6766296239523335e-06,-3.854793584424726e-06,-1.6626241282386086e-05,-5.331286682693772e-06,-1.160288566218301e-05,-1.3441406144493893e-05,-1.4641504835974803e-05,3.071549176430976e-08,0.00024680400676740336
"0.04,0.01,0.46,0.49",1,sgd_quarter,0,all,61440,-1.5233630323342088e-05,-7.485378842146909e-05,1.072850035152803e-05,0.00010381025231185946,1.2760197718128255e-05,2.7753995871284217e-05,-8.255067746740336e-06,-1.7924850545781402e-05,-4.505129971889145e-06,-1.943122926835431e-05,-2.473432605064391e-06,-5.3831199516692825e-06,-4.69773961400801e-05,-5.117171264468068e-05,-2.310153966046206e-08,-0.00018562465463512794
"0.04,0.01,0.46,0.49",1,sgd_quarter,0,Octx,25218,-1.1090026178481824e-05,-5.449327937810365e-05,6.0416860901868566e-06,5.846007707144461e-05,-3.1061773023874084e-06,-6.756073372081144e-06,8.154517390885505e-06,1.7706517982522346e-05,-5.048340088500183e-06,-2.1774167292921983e-05,-1.4196203480805543e-05,-3.089627994674704e-05,-5.871017575857046e-06,-6.39520384288192e-06,-1.3033533251929298e-08,-0.00010472657425104461
"0.04,0.01,0.46,0.49",1,sgd_quarter,0,Dctx,26171,-1.6486141156901595e-05,-8.10082754965035e-05,1.3737950561228813e-05,0.00013293005240997107,2.771296798854802e-05,6.027693427057778e-05,-2.496477739406669e-05,-5.4207902033759445e-05,-2.748190595757247e-06,-1.1853314304470923e-05,1.122682683193971e-05,2.4433799162026243e-05,-8.290183710117253e-05,-9.030362119704525e-05,-3.2616537250538186e-08,-0.00026207921859368566
"0.04,0.01,0.46,0.49",1,sgd_quarter,1,all,61440,-1.2634603197178736e-06,-6.2082897801562735e-06,-1.4094701243948498e-06,-1.3638201467609375e-05,-5.372364469032787e-08,-1.1685130950654391e-07,2.7266540887923104e-06,5.9205894525753674e-06,-2.6729304440896e-06,-1.1528707185264564e-05,-1.3171839644019262e-06,-2.8666878831761267e-06,2.9263875381026858e-06,3.1876662925343195e-06,2.1928519396600134e-09,1.7619924470316402e-05
"0.04,0.01,0.46,0.49",1,sgd_quarter,1,Octx,25218,-6.429550748819725e-07,-3.159300975420173e-06,1.3508532586024604e-07,1.3071017664817062e-06,-1.0546968401955429e-06,-2.2940123965835706e-06,1.5625665892334195e-06,3.3929185609530846e-06,-5.078697489990983e-07,-2.190510283352568e-06,-1.6976519150869835e-06,-3.6947292909387362e-06,1.8392230285830215e-06,2.003435695488278e-06,-8.042634523165771e-10,-6.4623885579120004e-06
"0.04,0.01,0.46,0.49",1,sgd_quarter,1,Dctx,26171,-1.613584605766214e-06,-7.928702358957164e-06,-1.952886334697788e-06,-1.88963617000288e-05,9.286288781112219e-07,2.0198089887305224e-06,2.6378420623378356e-06,5.727745208323943e-06,-3.5664709404389906e-06,-1.5382667082861795e-05,-6.849557276470688e-07,-1.4907213707612213e-06,2.0485149130983415e-06,2.2314139372228014e-06,3.699703553381891e-09,2.9727723971759426e-05
"0.04,0.01,0.46,0.49",1,sgd_quarter,2,all,61440,-1.9953673269887583e-06,-9.804675612264743e-06,7.563402289378629e-07,7.3184384981136996e-06,4.7630032036620574e-07,1.035974317714107e-06,7.627267776875186e-07,1.656166117196646e-06,-1.2390270980589602e-06,-5.344089906909303e-06,-1.519067006607559e-06,-3.3060613393906504e-06,-2.465281098635234e-06,-2.6853905565892823e-06,8.439668287614428e-09,6.781411690081852e-05
"0.04,0.01,0.46,0.49",1,sgd_quarter,2,Octx,25218,-1.430972090632778e-06,-7.03139565787715e-06,5.588330906452258e-07,5.407335810156779e-06,3.578288662348284e-08,7.782936515159663e-08,8.363561133735524e-07,1.8160430410993566e-06,-8.721389999816556e-07,-3.7616523759048176e-06,-1.3951892040067509e-06,-3.036456633208652e-06,-1.1892319545599145e-06,-1.2954110028821224e-06,7.314713883416393e-09,5.877492402325819e-05
"0.04,0.01,0.46,0.49",1,sgd_quarter,2,Dctx,26171,-1.9091519227483847e-06,-9.381037287669734e-06,1.0009244007606307e-06,9.685064191964046e-06,6.579664449770842e-07,1.4311061944905517e-06,2.502610770296913e-07,5.434107315418266e-07,-9.082275220245985e-07,-3.917307007435554e-06,-1.251185477759046e-06,-2.723050345003536e-06,-3.3177816915271365e-06,-3.6140055704739146e-06,8.054014070853176e-09,6.471532210847799e-05
"0.04,0.01,0.46,0.49",1,adam_first,0,all,61440,-1.0580653117036973,-5.199036296489874,0.6624556175614388,6.409999771745075,1.291737388721702,2.809586100882487,-0.8961276945794647,-1.945829578638564,-0.3956096941422632,-1.7063176236041777,0.2336720770179967,0.5085583562568234,-3.908386012566237,-4.257341240096834,-0.000378065156826434,-3.037815452863138
"0.04,0.01,0.46,0.49",1,adam_first,0,Octx,25218,-1.305102831134452,-6.412909406125463,0.7791433909298572,7.5390846203427,1.3409685885679592,2.9166661436415593,-0.8150091483633556,-1.7696907676652718,-0.5259594402045853,-2.2685335455893623,0.03586575743349314,0.07805738228996202,-4.24022395899556,-4.618806911558234,0.00029237367391081535,2.349270353481414
"0.04,0.01,0.46,0.49",1,adam_first,0,Dctx,26171,-1.3166728298297232,-6.469761135883239,0.8884341103118781,8.596594690030708,1.6988684110761183,3.6951141281984836,-1.2706296915582727,-2.759013980134544,-0.4282387195178577,-1.8470509824267338,0.382195581246362,0.8318013818668688,-5.17460504277602,-5.636613010841912,-0.0008766327217104104,-7.043887489795667
