pi0,seed,method,layer,context,n_ctx_rows,delta_MD,z_MD,delta_MO,z_MO,delta_AD,z_AD,delta_AO,z_AO,delta_P_M,z_P_M,delta_P_D,z_P_D,delta_chi,z_chi,delta_det,z_det
"0.04,0.01,0.46,0.49",2,sgd_accum,0,all,61440,-2.317872677502947e-05,-0.00012309007890728242,3.3540698181504554e-05,0.00037393621316218734,2.6528789844386373e-06,5.8025026970029865e-06,-1.3014850391179654e-05,-2.8357286788714294e-05,1.0361971406399167e-05,4.8834105422254165e-05,-2.0525847790553137e-05,-4.483636528924376e-05,-7.238715433169973e-05,-7.924973759623466e-05,-1.7368376574058605e-08,-0.00013771801153730274
"0.04,0.01,0.46,0.49",2,sgd_accum,0,Octx,26739,-3.288384058138656e-06,-1.7462885564093806e-05,1.6588027409227485e-06,1.8493545124405187e-05,-2.6609835296354283e-06,-5.820229342522143e-06,4.290564846678825e-06,9.348457660742995e-06,-1.6295813173663232e-06,-7.679923320118191e-06,-5.949367587720725e-06,-1.299571258273688e-05,2.0043615778374116e-06,2.194382837094459e-06,-3.994917703972707e-09,-3.167665786726578e-05
"0.04,0.01,0.46,0.49",2,sgd_accum,0,Dctx,24826,-7.362310048091532e-06,-3.909737292972222e-05,1.1778680792715536e-05,0.00013131734073749875,6.072505730387867e-06,1.3282072452165679e-05,-1.0488876475087354e-05,-2.285359180901744e-05,4.416370744596964e-06,2.081356009071959e-05,-1.289804317698395e-06,-2.8174299122779683e-06,-3.570237304613637e-05,-3.908709662081768e-05,-1.0426310252275321e-08,-8.267270746299892e-05
"0.04,0.01,0.46,0.49",2,sgd_accum,1,all,61440,-4.871913166431127e-06,-2.5872179343840294e-05,4.1030082444031015e-06,4.5743334178158926e-05,2.9487539937563317e-06,6.44965454584806e-06,-2.1798490717752385e-06,-4.749544053640118e-06,-7.689049220061052e-07,-3.623710445460941e-06,-1.92315917267978e-06,-4.200921104721237e-06,-1.4103524476407846e-05,-1.5440593351905418e-05,-9.145020354522594e-09,-7.251305344070561e-05
"0.04,0.01,0.46,0.49",2,sgd_accum,1,Octx,26739,-1.2541823051978672e-06,-6.660305391633252e-06,-3.141901954143954e-08,-3.5028218926800073e-07,1.1273845637742294e-06,2.4658689711184654e-06,1.5821676094474756e-07,3.447291309573783e-07,-1.2856013247332884e-06,-6.058807553188546e-06,-1.2679774142765535e-07,-2.769751539869636e-07,-2.191931088533216e-06,-2.3997346656189163e-06,-3.187834617465819e-09,-2.527710305883706e-05
"0.04,0.01,0.46,0.49",2,sgd_accum,1,Dctx,24826,-1.2258147999610556e-06,-6.509660427744918e-06,9.422805799089838e-07,1.0505232475504467e-05,1.2106846301299188e-06,2.6480668257981028e-06,-9.27150410082834e-07,-2.020113123452505e-06,-2.835342200350018e-07,-1.3362457247715457e-06,-1.513016986177154e-08,-3.30501243959782e-08,-4.305930419989201e-06,-4.714149341029577e-06,-5.00869245971966e-09,-3.9715120351820274e-05
"0.04,0.01,0.46,0.49",2,sgd_accum,2,all,61440,1.7324124890100594e-06,9.199935442611843e-06,-2.0957598709696607e-06,-2.3365062516194625e-05,-5.565663863623173e-07,-1.2173483890038528e-06,9.199137683581351e-07,2.004345633346469e-06,-3.633473819724188e-07,-1.7123907855201452e-06,1.1758461026215824e-06,2.5685012341044037e-06,5.3046525146987985e-06,5.807554167728737e-06,-8.45909806703267e-09,-6.707421158352699e-05
"0.04,0.01,0.46,0.49",2,sgd_accum,2,Octx,26739,-6.119669072763251e-07,-3.2498357496684655e-06,7.863860697419851e-07,8.767206556390858e-06,1.1262204883724693e-06,2.4633228502068635e-06,-1.300639650818146e-06,-2.8338867123681457e-06,1.744191624829622e-07,8.220061062023487e-07,5.142535811019345e-07,1.123328090944921e-06,-3.82521311619184e-06,-4.187858170508637e-06,-3.500202313942319e-10,-2.775394122755134e-06
"0.04,0.01,0.46,0.49",2,sgd_accum,2,Dctx,24826,1.4666830550413773e-06,7.788785584698607e-06,-7.69299107323112e-07,-8.576708613062971e-06,-7.143555538642664e-07,-1.5624723374984937e-06,1.6971606175407095e-08,3.6978427651177306e-08,6.973839477192306e-07,3.2866449719864027e-06,7.523275011261079e-07,1.6433733213767104e-06,2.9673093223721597e-06,3.2486217663328434e-06,-4.166316205887407e-09,-3.3035717579238e-05
"0.04,0.01,0.46,0.49",2,sgd_quarter,0,all,61440,-5.987718025694801e-06,-3.179763459015074e-05,8.54166300443658e-06,9.522870098595215e-05,6.237434971900477e-07,1.3642813509072232e-06,-3.177688476130628e-06,-6.923677240569583e-06,2.5539449786630444e-06,1.2036282811362092e-05,-5.363974528389784e-06,-1.1716988443603882e-05,-1.833081300336228e-05,-2.006864524312342e-05,-4.184295310668388e-09,-3.3178278200784844e-05
"0.04,0.01,0.46,0.49",2,sgd_quarter,0,Octx,26739,-1.0766106862450456e-06,-5.717315519896913e-06,7.320941392518211e-07,8.161920441507547e-06,-8.12009283664594e-07,-1.7760652054214553e-06,1.1565258305412657e-06,2.5198856436675538e-06,-3.4451654715304926e-07,-1.6236444517684188e-06,-1.8886199696609228e-06,-4.125474168781978e-06,1.5983028836808125e-07,1.7498282022607493e-07,-6.277124278371391e-10,-4.977281958988675e-06
"0.04,0.01,0.46,0.49",2,sgd_quarter,0,Dctx,24826,-2.2340358387602505e-06,-1.186379434658772e-05,3.202201960382301e-06,3.570048746052003e-05,1.6120303567095277e-06,3.5259092281727414e-06,-2.580196478375451e-06,-5.621837309640523e-06,9.681661216629277e-07,4.5627925997117005e-06,-6.220054820290366e-07,-1.3586997861789409e-06,-9.628464634115777e-06,-1.0541280462715262e-05,-2.402681120577646e-09,-1.905143321099984e-05
"0.04,0.01,0.46,0.49",2,sgd_quarter,1,all,61440,-1.198854644481001e-06,-6.3664891613676995e-06,1.0153406893786328e-06,1.1319759964480842e-05,7.599364544872946e-07,1.6621690444905438e-06,-5.764224994018027e-07,-1.2559328486850816e-06,-1.8351395507010575e-07,-8.64868226022504e-07,-4.389181899776606e-07,-9.587665512646653e-07,-3.5505542877669267e-06,-3.887160618821188e-06,-2.0551450941726817e-09,-1.6295736943707144e-05
"0.04,0.01,0.46,0.49",2,sgd_quarter,1,Octx,26739,-3.108525463473428e-07,-1.650775076206723e-06,-3.864486867617824e-08,-4.308412357047691e-07,3.9286650034567203e-07,8.592962367261029e-07,-4.336908531682662e-08,-9.449433171563333e-08,-3.4949741501534103e-07,-1.6471183851293292e-06,8.20139540104476e-08,1.7915009593513955e-07,-7.084432634493915e-07,-7.756064352649639e-07,-8.521989504687001e-10,-6.757289283329982e-06
"0.04,0.01,0.46,0.49",2,sgd_quarter,1,Dctx,24826,-2.640908604616096e-07,-1.402448252159023e-06,1.8831318222668084e-07,2.0994529651501492e-06,2.1677695196969673e-07,4.741448274989518e-07,-1.4099927372293327e-07,-3.0721496765505566e-07,-7.577767820132176e-08,-3.571265525449806e-07,-4.731390848022048e-08,-1.0335181793842221e-07,-8.1018026824661e-07,-8.869885030978977e-07,-9.137930922477708e-10,-7.245683963857002e-06
"0.04,0.01,0.46,0.49",2,sgd_quarter,2,all,61440,4.6306171401509025e-07,2.459078251807316e-06,-5.562399340425867e-07,-6.201369256534046e-06,-1.924647809741089e-07,-4.209680943726394e-07,2.856430010254203e-07,6.22370619393088e-07,-9.317822003297292e-08,-4.391321729896026e-07,2.705969329966852e-07,5.910880299703052e-07,1.4974094300575563e-06,1.639369657528049e-06,-1.917839365184089e-09,-1.5207006981620074e-05
"0.04,0.01,0.46,0.49",2,sgd_quarter,2,Octx,26739,-1.0338604923590064e-07,-5.490291628990054e-07,1.4176967757330414e-07,1.5805519636504956e-06,2.5400868234181117e-07,5.555798334549422e-07,-2.923923106770726e-07,-6.370762905045631e-07,3.838362833779084e-08,1.8089512885344599e-07,1.506226330930099e-07,3.290179030409704e-07,-7.915567198593959e-07,-8.665993700200255e-07,-6.260218911634695e-11,-4.963877289407962e-07
"0.04,0.01,0.46,0.49",2,sgd_quarter,2,Dctx,24826,3.7939879253030084e-07,2.0147882911408545e-06,-2.116695690896254e-07,-2.359847033556771e-06,-2.481738058665564e-07,-5.428175149764347e-07,8.044458244039938e-08,1.7527593681804975e-07,1.6772922345441319e-07,7.904776281767426e-07,1.31224986626735e-07,2.8664596442054504e-07,9.196867498807395e-07,1.006876624335884e-06,-6.655717310227193e-10,-5.2774774280743396e-06
"0.04,0.01,0.46,0.49",2,adam_first,0,all,61440,0.4939852984167958,2.623297213489136,-0.4656927377995695,-5.191882945535363,0.14492029455394498,0.31697653942464765,-0.1732128551711699,-0.3774032326110891,0.02829256061722458,0.13333774372257107,0.6389055929707436,1.3956161442920445,0.6415448864912527,0.7023658324467814,-7.378761620594856e-05,-0.5850796553512476
"0.04,0.01,0.46,0.49",2,adam_first,0,Octx,26739,-0.21646587510312845,-1.1495368967325057,0.08436751793384668,0.9405907414137313,0.3778675984870982,0.8264899274308171,-0.24576924131781766,-0.5354920456571142,-0.132098357169284,-0.6225557712046533,0.16140172338396935,0.3525635921010652,-0.9244702328419075,-1.012113600053033,-0.0003299223442995627,-2.6160331695320735
