seed,d_model,arm,frac,set,n_seqs,em_obs,em_pred_chain,mean_pi_b,em_rate_stored,p0,eps,gamma,q_m,q_a,nll,lrt_switch,null_p0,null_pivot_pred,pivot_excess,p0_from_t1,first_token_p_b,piv_stay_A,piv_drift_AM,piv_pivot_MA,piv_stay_M,piv_n
0,64,base,-1.0,ft,120,0.45,0.479,0.5080952644348145,0.5416666666666666,0.6223563150877158,0.01435437993632791,0.02766027512501584,0.6652513044843446,0.32271386572838173,1609.7028977015527,8.209937355462898,0.4829779171888961,0.13706401685460537,0.04626931647872795,0.5032928566218001,0.49511051177978516,0.43333333333333335,0.11666666666666667,0.18333333333333332,0.26666666666666666,120
0,64,base,-1.0,corr,120,0.4,0.42295,0.47041186690330505,0.4666666666666667,0.4503622205035991,2.0347340062418722e-47,1.1318881815370983e-51,0.6355421539773348,0.36695528017769985,1625.9503872132818,1.0629264579620212e-08,0.4503650786997812,0.14751167674647025,0.010821656586863071,0.463847994900539,0.49153876304626465,0.4666666666666667,0.13333333333333333,0.15833333333333333,0.24166666666666667,120
0,64,base,-1.0,heldout,2260,0.43805309734513276,0.44415,0.4876455068588257,0.4982300884955752,0.5064649357890431,3.4382075974517344e-14,0.0042047396544589374,0.6295710815388604,0.3662793131197055,30719.436367837272,2.6739049126845202,0.48810597336581546,0.15558022917402953,0.012118885870218254,0.510127993004501,0.5005918145179749,0.4389380530973451,0.1486725663716814,0.16769911504424778,0.24469026548672565,2260
0,64,corrective,0.0,ft,120,1.0,0.9794,0.9771143198013306,1.0,0.46734657199236623,0.986376183719397,0.9999999996605815,0.7788866622335889,0.6824152679501311,1395.3085898934307,3.038472950688174,0.5038556807529699,0.0915614364262291,-0.016561436426229106,0.4307886441352512,0.7239740490913391,0.0,0.1,0.075,0.825,120
0,64,corrective,0.0,corr,120,0.9833333333333333,0.9455,0.9619291424751282,0.9833333333333333,0.06358355785657757,0.07361283615305866,0.09898307395748933,0.9732979710722653,0.6296775460615665,1345.759374880438,64.19022264523483,0.9837875941037247,0.07810284705681614,-0.044769513723482805,0.1118495160686086,0.6681113243103027,0.016666666666666666,0.18333333333333332,0.03333333333333333,0.7666666666666667,120
0,64,corrective,0.0,heldout,2260,0.9920353982300885,0.97415,0.9736166000366211,0.9960176991150442,0.16962565682720013,0.041012907803152664,0.05635401661190485,0.9689689550010288,0.6886736547392786,23590.569032196778,393.3705866019154,0.20119306379760885,0.07356529770654632,-0.005423704786192335,0.3388180751939081,0.7836427688598633,0.003982300884955752,0.11371681415929204,0.06814159292035399,0.8141592920353983,2260
0,64,corrective,0.01,ft,120,0.9833333333333333,0.964,0.9666075110435486,0.9833333333333333,0.8577842138293721,0.7863766621881351,0.1102663082330471,0.8207702895380025,1.5770296861846518e-11,1423.3183909653421,-0.49605028802261586,0.991966513140536,0.10085855407814286,0.032474779255190475,0.8600157024677251,0.7058753371238708,0.008333333333333333,0.09166666666666666,0.13333333333333333,0.7666666666666667,120
0,64,corrective,0.01,corr,120,0.6916666666666667,0.6727,0.7082646489143372,0.6916666666666667,0.481144333330828,0.025132759843589668,2.7339843393418357e-14,0.7323476012846443,0.4328236480563808,1561.1095472985457,1.732357959874662,0.6631941227537069,0.12983736892156955,-0.021504035588236214,1.0269176742669701,0.7404100894927979,0.21666666666666667,0.14166666666666666,0.10833333333333334,0.5333333333333333,120
0,64,corrective,0.01,heldout,2260,0.9606194690265487,0.95085,0.9396370053291321,0.9676991150442478,0.06360986817939734,0.023617673886537523,0.062480204516316626,0.9745953512801362,0.6757935805328223,26065.647868153974,352.11364249799954,0.12765934739902582,0.11138133426774406,-0.004744166126151139,0.33537191014697076,0.7760033011436462,0.016814159292035398,0.10265486725663717,0.10663716814159292,0.7738938053097345,2260
0,64,corrective,0.02,ft,120,0.9833333333333333,0.9574,0.9638382196426392,1.0,0.9999999962306343,0.013182488356695362,0.010398572038286357,0.7016666658911175,0.7016666658911153,1462.6692436156397,9.094947017729282e-13,0.6515590070740057,0.12569032529807656,-0.042356991964743226,nan,0.7273485660552979,0.0,0.1,0.08333333333333333,0.8166666666666667,120
