feature_id,activation,example_index,token_position,token_id,token_text
192,12.96244,36,119,7013, YOU
192,12.811501,52,119,7013, YOU
192,12.809267,14,120,7013, YOU
192,12.747738,56,119,7013, YOU
192,12.489176,14,124,7013, YOU
192,12.459462,60,119,7013, YOU
192,12.443865,38,119,7013, YOU
192,12.294646,46,120,7013, YOU
192,12.025733,52,127,7013, YOU
192,11.999263,2,122,7013, YOU
192,11.988535,46,124,7013, YOU
192,11.686678,62,119,7013, YOU
192,11.560308,38,127,7013, YOU
192,11.368349,36,123,7013, YOU
192,11.320925,52,123,7013, YOU
192,11.288626,56,123,7013, YOU
192,11.22782,12,119,7013, YOU
192,11.180051,36,111,7013, YOU
192,11.146999,52,111,7013, YOU
192,11.104871,36,127,7013, YOU
192,11.081317,56,127,7013, YOU
192,11.078812,14,112,7013, YOU
192,11.059721,14,116,7013, YOU
192,10.974488,56,111,7013, YOU
192,10.96699,60,123,7013, YOU
447,11.382525,2,105,6158,ATE
447,11.176898,14,47,6158,ATE
447,11.094933,14,67,6158,ATE
447,11.073156,2,85,6158,ATE
447,10.942151,46,67,6158,ATE
447,10.654691,2,69,6158,ATE
447,10.575857,46,47,6158,ATE
447,10.265656,2,77,6158,ATE
447,10.260739,38,66,6158,ATE
447,10.124387,36,66,6158,ATE
447,10.110983,2,65,6158,ATE
447,10.093388,52,66,6158,ATE
447,10.02875,2,73,6158,ATE
447,10.023755,4,105,6158,ATE
447,10.00423,36,58,6158,ATE
447,9.956707,38,58,6158,ATE
447,9.924409,34,105,6158,ATE
447,9.920388,2,81,6158,ATE
447,9.914837,52,58,6158,ATE
447,9.887693,2,121,6158,ATE
447,9.743443,38,86,6158,ATE
447,9.728038,52,50,6158,ATE
447,9.645506,4,85,6158,ATE
447,9.62787,36,50,6158,ATE
447,9.614839,56,66,6158,ATE
562,11.988321,14,100,7013, YOU
562,11.803579,14,96,7013, YOU
562,11.687138,14,92,7013, YOU
562,11.504105,14,72,7013, YOU
562,11.464209,36,99,7013, YOU
562,11.450841,56,99,7013, YOU
562,11.401649,14,104,7013, YOU
562,11.311719,14,108,7013, YOU
562,11.263716,46,100,7013, YOU
562,11.214314,14,60,7013, YOU
562,11.187293,52,99,7013, YOU
562,11.157701,14,24,7013, YOU
562,11.124271,38,99,7013, YOU
562,11.111144,36,95,7013, YOU
562,11.094551,56,71,7013, YOU
562,11.090759,56,95,7013, YOU
562,11.039437,46,96,7013, YOU
562,11.036308,14,64,7013, YOU
562,11.014788,36,71,7013, YOU
562,11.009454,14,32,7013, YOU
562,10.966396,14,88,7013, YOU
562,10.932679,14,28,7013, YOU
562,10.921013,46,92,7013, YOU
562,10.896279,56,63,7013, YOU
562,10.872691,14,52,7013, YOU
647,23.283033,36,93,367, H
647,23.035248,38,93,367, H
647,22.966536,52,93,367, H
647,22.673759,36,101,367, H
647,22.66544,36,121,367, H
647,22.656744,36,97,367, H
647,22.648279,36,113,367, H
647,22.622303,38,121,367, H
647,22.621027,56,93,367, H
647,22.612669,36,89,367, H
647,22.594381,38,125,367, H
647,22.566244,60,93,367, H
647,22.515654,36,125,367, H
647,22.509644,52,121,367, H
647,22.490015,52,125,367, H
647,22.489567,38,113,367, H
647,22.460009,2,112,367, H
647,22.428205,38,101,367, H
647,22.401089,38,97,367, H
647,22.400665,38,89,367, H
647,22.367069,52,89,367, H
647,22.356863,52,113,367, H
647,22.327929,52,97,367, H
647,22.326567,52,101,367, H
647,22.302013,46,114,367, H
658,12.804628,38,62,6158,ATE
658,12.44072,38,54,6158,ATE
658,12.412792,52,62,6158,ATE
658,12.236662,52,54,6158,ATE
658,12.2189,32,116,6158,ATE
658,12.158202,24,117,6158,ATE
658,11.966428,38,70,6158,ATE
658,11.664515,28,118,6158,ATE
658,11.636299,52,70,6158,ATE
658,11.614594,38,50,6158,ATE
658,11.613704,34,117,6158,ATE
658,11.566278,38,58,6158,ATE
658,11.562573,50,114,6158,ATE
658,11.512406,50,118,6158,ATE
658,11.5084,52,50,6158,ATE
658,11.499954,38,78,6158,ATE
658,11.404111,38,74,6158,ATE
658,11.326759,28,114,6158,ATE
658,11.298781,52,42,6158,ATE
658,11.281702,52,58,6158,ATE
658,11.25013,38,82,6158,ATE
658,11.22055,38,102,6158,ATE
658,11.197197,38,118,6158,ATE
658,11.194489,38,42,6158,ATE
658,11.177258,38,114,6158,ATE
999,11.478526,30,116,7013, YOU
999,11.22896,54,117,7013, YOU
999,11.107166,58,114,7013, YOU
999,11.077944,54,113,7013, YOU
999,11.046337,16,115,7013, YOU
999,11.001248,30,112,7013, YOU
999,10.925591,30,120,7013, YOU
999,10.864594,18,115,7013, YOU
999,10.838852,58,118,7013, YOU
999,10.782744,6,115,7013, YOU
999,10.637321,32,117,7013, YOU
999,10.637036,58,110,7013, YOU
999,10.612332,34,114,7013, YOU
999,10.567974,58,122,7013, YOU
999,10.566661,8,115,7013, YOU
999,10.535019,26,116,7013, YOU
999,10.526597,48,115,7013, YOU
999,10.520611,4,114,7013, YOU
999,10.516058,50,115,7013, YOU
999,10.502923,54,109,7013, YOU
999,10.494864,32,113,7013, YOU
999,10.493366,10,113,7013, YOU
999,10.45978,16,111,7013, YOU
999,10.452823,22,116,7013, YOU
999,10.37066,34,118,7013, YOU
1880,11.410963,58,125,6158,ATE
1880,11.318552,16,118,6158,ATE
1880,11.254307,4,125,6158,ATE
1880,11.181526,4,57,6158,ATE
