seed,step,layer,prompt,base_dec_MD,base_dec_MO,base_dec_AD,base_dec_AO,base_dec_P_M,base_dec_P_D,base_dec_chi,own_dec_MD,own_dec_MO,own_dec_AD,own_dec_AO,own_dec_P_M,own_dec_P_D,own_dec_chi,D_p_next_S_M,D_p_next_S_A,O_p_next_S_M,O_p_next_S_A
0,0,0,D,0.0504139915679431,-0.0538357214980074,0.8819045662728584,0.1215171636572289,-0.003421729930087,0.9323185578407548,-0.656137689549596,0.0504139915679431,-0.0538357214980074,0.8819045662728584,0.1215171636572289,-0.003421729930087,0.9323185578407548,-0.656137689549596,0.0005690073012374,2.38504282989993e-09,0.0018920331494882,2.3395638204526387e-10
0,0,0,O,0.0128402717369802,0.0240693013438537,-0.0798276327133233,1.0429180596325152,0.0369095730808391,-0.0669873609764117,1.111516662739288,0.0128402717369802,0.0240693013438537,-0.0798276327133233,1.0429180596325152,0.0369095730808391,-0.0669873609764117,1.111516662739288,0.0005690073012374,2.38504282989993e-09,0.0018920331494882,2.3395638204526387e-10
0,0,1,D,0.0397293428893061,-0.0185875391794325,0.970545078989666,0.0083131173005246,0.0211418037098317,1.010274421878993,-0.9039150796205576,0.0397293428893061,-0.0185875391794325,0.970545078989666,0.0083131173005246,0.0211418037098317,1.010274421878993,-0.9039150796205576,0.0005690073012374,2.38504282989993e-09,0.0018920331494882,2.3395638204526387e-10
0,0,1,O,-0.0150903918667646,0.0357681985694544,0.0099935473078964,0.9693286459893992,0.0206778067027063,-0.005096844558862,0.908476508245334,-0.0150903918667646,0.0357681985694544,0.0099935473078964,0.9693286459893992,0.0206778067027063,-0.005096844558862,0.908476508245334,0.0005690073012374,2.38504282989993e-09,0.0018920331494882,2.3395638204526387e-10
0,0,2,D,0.0349653623579031,-0.0141302538277996,0.9704962756387192,0.0086686158311563,0.0208351085300868,1.005461637996641,-0.9127320436219158,0.0349653623579031,-0.0141302538277996,0.9704962756387192,0.0086686158311563,0.0208351085300868,1.005461637996641,-0.9127320436219158,0.0005690073012374,2.38504282989993e-09,0.0018920331494882,2.3395638204526387e-10
0,0,2,O,0.0068192886848174,0.0093514652838553,-0.0002023858221594,0.984031631853479,0.016170753968676,0.006616902862661,0.9817018410766069,0.0068192886848174,0.0093514652838553,-0.0002023858221594,0.984031631853479,0.016170753968676,0.006616902862661,0.9817018410766069,0.0005690073012374,2.38504282989993e-09,0.0018920331494882,2.3395638204526387e-10
0,1,0,D,0.3702585225274184,-0.0096158616736516,1.0202144408278429,-0.3808571016815554,0.3606426608537124,1.39047296335525,-1.0211971583081632,0.0649676789095288,-0.0628993586056658,0.8624537612927663,0.1354779184033562,0.00206832030385,0.927421440202224,-0.5991088053743499,0.0010934311430901,2.5097799394302456e-09,0.0038220426067709,2.9497129738764727e-10
0,1,0,O,0.4819226869832498,-0.1212180026525402,-0.0144936629816916,0.6537889786509732,0.3607046843307418,0.4674290240016796,1.271423331268775,0.0067968055486424,0.0355729828888193,-0.0836805313872612,1.0413107429498265,0.0423697884374022,-0.0768837258387629,1.0962150969966529,0.0010934311430901,2.5097799394302456e-09,0.0038220426067709,2.9497129738764727e-10
0,1,1,D,-0.5555022829638254,0.3677795018648677,1.3266446421196545,-0.1389218610206022,-0.1877227810990166,0.7711423591558408,-2.388848287969101,0.0311635055147897,-0.0128147407777396,0.9758892579139872,0.0057619773488379,0.0183487647370995,1.0070527634287982,-0.9261490342726582,0.0010934311430901,2.5097799394302456e-09,0.0038220426067709,2.9497129738764727e-10
0,1,1,O,0.0075056865924985,-0.0623699656392717,-0.0377517338006903,1.0926160128474645,-0.0548642790467525,-0.0302460472081962,1.2002433988799712,-0.0244924289136792,0.0428393944322697,0.0160361176857155,0.9656169167956756,0.0183469655185883,-0.0084563112279423,0.8822489757640182,0.0010934311430901,2.5097799394302456e-09,0.0038220426067709,2.9497129738764727e-10
