pi0,seed,method,layer,context,n_ctx_rows,delta_MD,z_MD,delta_MO,z_MO,delta_AD,z_AD,delta_AO,z_AO,delta_P_M,z_P_M,delta_P_D,z_P_D,delta_chi,z_chi,delta_det,z_det
"0.015,0.035,0.485,0.465",0,sgd_accum,0,all,61440,-0.0001996103573280419,-0.0017671085654555156,0.00015945293150680003,0.0008880621716600707,-5.717859954323471e-05,-0.00012472379137574342,9.733602536498623e-05,0.0002133104868484375,-4.015742582178232e-05,-0.00018520989457513669,-0.0002567889568699129,-0.000562235189777269,-0.0002045486639257725,-0.00022437272257143883,1.5390570279815154e-08,0.0001830124827818137
"0.015,0.035,0.485,0.465",0,sgd_accum,0,Octx,24713,-0.00014598285881157528,-0.0012923555854953512,0.00011563651791479429,0.0006440296597384381,-4.72530240172253e-05,-0.00010307311400554793,7.759936491454232e-05,0.00017005788192996167,-3.0346340897108387e-05,-0.00013996023109743118,-0.00019323588282721925,-0.0004230867813687871,-0.00013676698779363337,-0.00015002191077761337,1.2025542719914795e-08,0.00014299823787925316
"0.015,0.035,0.485,0.465",0,sgd_accum,0,Dctx,26457,-0.0002013893589418727,-0.0017828576930651277,0.00017060560047414626,0.0009501761969674386,-4.565902913244931e-05,-9.959612983575421e-05,7.644278760049934e-05,0.00016752325953284545,-3.0783758468113904e-05,-0.00014197764283519501,-0.0002470483880726502,-0.0005409083748977574,-0.00024989314268156307,-0.0002741118113376774,1.5356238834715436e-08,0.00018260424040411394
"0.015,0.035,0.485,0.465",0,sgd_accum,1,all,61440,1.2942698294100858e-05,0.00011457898939595306,-4.729485525583285e-06,-2.6340545432400825e-05,-1.9750723873592367e-05,-4.308229273903778e-05,1.15375111050314e-05,2.5284288130782875e-05,8.2132127685788e-06,3.788012403341175e-05,-6.808025579481281e-06,-1.4906059825723915e-05,4.896041879852644e-05,5.370547161358949e-05,-1.1513545733312514e-08,-0.00013690997487201547
"0.015,0.035,0.485,0.465",0,sgd_accum,1,Octx,24713,2.2376888909029853e-05,0.0001980978972669678,-3.922567225854439e-06,-2.1846469275645494e-05,-1.760256351650684e-05,-3.839650633714822e-05,-8.517581667140117e-07,-1.8666156599019677e-06,1.8454321683219992e-05,8.511309934490056e-05,4.7743253925128056e-06,1.0453306777042254e-05,4.30502614845559e-05,4.722252490589413e-05,-3.9619341840410213e-08,-0.0004711218612805002
"0.015,0.035,0.485,0.465",0,sgd_accum,1,Dctx,26457,2.85953810858615e-07,2.531489023199686e-06,-1.1407237852323536e-05,-6.353182926176169e-05,-1.627919309168046e-05,-3.5509835832844074e-05,2.7400477133055168e-05,6.004774794547934e-05,-1.1121284041362358e-05,-5.1292427308017444e-05,-1.5993239280837858e-05,-3.501693387371949e-05,5.53728618882894e-05,6.0739383675252406e-05,2.7949270120731194e-08,0.0003323506032419749
"0.015,0.035,0.485,0.465",0,sgd_accum,2,all,61440,1.6316373141575045e-06,1.4444542418338258e-05,2.7178864834021785e-06,1.5137082460429765e-05,-1.3566860314402576e-06,-2.9593419023806925e-06,-2.9928377661106123e-06,-6.558760526265456e-06,4.349523797534261e-06,2.0060420395681992e-05,2.749512827190324e-07,6.020013029507002e-07,-2.7224009040051973e-06,-2.986245380631056e-06,-8.067845719727939e-09,-9.593643698859559e-05
"0.015,0.035,0.485,0.465",0,sgd_accum,2,Octx,24713,-3.8073336781916953e-06,-3.370552532613813e-05,3.6064253081148016e-06,2.0085738536062518e-05,-2.111066306312982e-06,-4.604873076155902e-06,2.311974676372129e-06,5.0666589471774385e-06,-2.0090837009891111e-07,-9.266086479352515e-07,-5.918399984479466e-06,-1.2958239244444217e-05,-2.9907180038140573e-06,-3.2805667271563658e-06,-2.301345550817052e-08,-0.0002736578017166026
"0.015,0.035,0.485,0.465",0,sgd_accum,2,Dctx,26457,6.527588445652519e-06,5.778736939548855e-05,-8.892673205308195e-07,-4.952713383154409e-06,1.7668771827294226e-06,3.854092665537834e-06,-7.405198307841704e-06,-1.6228384612293366e-05,5.638321125108653e-06,2.600447712451982e-05,8.294465628384585e-06,1.816059581969602e-05,-1.7552197244154243e-06,-1.925328773699992e-06,2.0226217336910745e-08,0.00024051417100296412
"0.015,0.035,0.485,0.465",0,sgd_quarter,0,all,61440,-4.643988972944986e-05,-0.0004111225891192361,3.6136814106053425e-05,0.00020126150901483738,-1.4421012400955584e-05,-3.145658264616602e-05,2.4724088024305542e-05,5.4182480058872134e-05,-1.0303075623258696e-05,-4.751877170743187e-05,-6.08609021299679e-05,-0.0001332539423663492,-4.343160341024597e-05,-4.764082500356069e-05,3.4861860009948393e-09,4.145496520801636e-05
"0.015,0.035,0.485,0.465",0,sgd_quarter,0,Octx,24713,-3.321003265997106e-05,-0.0002940014434022954,2.5396253556532885e-05,0.00014144269329085726,-1.1672821271686076e-05,-2.5461947943570644e-05,1.9486600374375567e-05,4.270460189115392e-05,-7.81377910250368e-06,-3.6037897703670135e-05,-4.488285393077065e-05,-9.827026911556784e-05,-2.7446864571708802e-05,-3.0106907626825825e-05,2.6644955101757785e-09,3.168407211770461e-05
"0.015,0.035,0.485,0.465",0,sgd_quarter,0,Dctx,26457,-4.748595506745227e-05,-0.00042038318583152153,3.961957965949444e-05,0.00022065853302401852,-1.1878679984569596e-05,-2.5910987957905888e-05,1.9745055393190697e-05,4.3271002313660886e-05,-7.86637540842125e-06,-3.6280476904769e-05,-5.936463505162842e-05,-0.00012997789025335333,-5.548179934800175e-05,-6.085887892863889e-05,3.6134337688121555e-09,4.296809496820681e-05
"0.015,0.035,0.485,0.465",0,sgd_quarter,1,all,61440,3.681908041143256e-06,3.259515850688654e-05,-1.5032318785058422e-06,-8.372146902031808e-06,-5.088996264530314e-06,-1.1100637537113578e-05,2.9103201017536254e-06,6.37792426249177e-06,2.1786761627876785e-06,1.0048263158451625e-05,-1.4070882232831843e-06,-3.080796479311816e-06,1.318445628615425e-05,1.4462242362150294e-05,-3.3316992997349186e-09,-3.961793160625109e-05
"0.015,0.035,0.485,0.465",0,sgd_quarter,1,Octx,24713,5.562680711797768e-06,4.9245243905643214e-05,-8.769672143162159e-07,-4.884208784754319e-06,-4.369980392892995e-06,-9.532246805505465e-06,-3.1573310459812307e-07,-6.919245161639933e-07,4.6857134975332666e-06,2.161095949573278e-05,1.1927003189395166e-06,2.611397695369266e-06,1.0493895214438567e-05,1.1510922606159878e-05,-1.0196750083409801e-08,-0.00012125168302034526
"0.015,0.035,0.485,0.465",0,sgd_quarter,1,Dctx,26457,1.0086096942745255e-06,8.929009765885512e-06,-3.5713517986123985e-06,-1.9890399029149056e-05,-4.433019333476137e-06,-9.669753770290334e-06,6.99576143762376e-06,1.5331109653793704e-05,-2.5627421041420545e-06,-1.181961206970481e-05,-3.424409639154586e-06,-7.497688478560784e-06,1.600874226423167e-05,1.756024712081998e-05,6.379289723732528e-09,7.585746528547884e-05
"0.015,0.035,0.485,0.465",0,sgd_quarter,2,all,61440,4.004289636794987e-07,3.5449135057237413e-06,7.230863490995013e-07,4.0271798543363264e-06,-3.594934175177817e-07,-7.841636970058658e-07,-7.640218952730117e-07,-1.674342894446737e-06,1.1235153127723157e-06,5.181760244184814e-06,4.09355461376983e-08,8.962770374515895e-08,-7.27185863218768e-07,-7.976618806225269e-07,-2.313144734251294e-09,-2.750608672403868e-05
"0.015,0.035,0.485,0.465",0,sgd_quarter,2,Octx,24713,-1.0914720826731231e-06,-9.662573085210792e-06,1.0710545924211075e-06,5.965165132579688e-06,-5.901497145452081e-07,-1.2872947302903994e-06,6.105672047823348e-07,1.3380491674838783e-06,-2.041749025556075e-08,-9.416742085271069e-08,-1.6816217972380992e-06,-3.681883215806357e-06,-9.618097558568951e-07,-1.055024605761758e-06,-6.0343756521109685e-09,-7.175602008584039e-05
"0.015,0.035,0.485,0.465",0,sgd_quarter,2,Dctx,26457,1.7707299708683677e-06,1.567590049191654e-05,-3.3434273201236104e-07,-1.8620989270240921e-06,4.208197102305908e-07,9.179348596307323e-07,-1.8572069491076377e-06,-4.070042073394122e-06,1.436387238847574e-06,6.6247555372866635e-06,2.191549681079682e-06,4.798361915042761e-06,-1.7295395648400492e-07,-1.8971597932265391e-07,4.703546388295435e-09,5.59308516027074e-05
"0.015,0.035,0.485,0.465",0,adam_first,0,all,61440,-3.9916102105131244,-35.33688675966577,3.538167510115075,19.705581409118842,-0.86169496736963,-1.8796169230845379,1.3151376677676614,2.8821051109525975,-0.45344270039804024,-2.0913211695713945,-4.8533051778827305,-10.626231715705106,-5.352945085490828,-5.871731643492057,0.00016186062970745485,1.924718523668954
"0.015,0.035,0.485,0.465",0,adam_first,0,Octx,24713,-3.3724460902153206,-29.855556857516085,3.000215248870766,16.709493166302853,-0.20908074368271065,-0.4560682364395741,0.5813115850272428,1.2739359014078186,-0.37223084134454,-1.716764296322041,-3.581526833897976,-7.841693987522654,-5.58226901037607,-6.123280748676835,0.00042051831778566973,5.00047106728208
"0.015,0.035,0.485,0.465",0,adam_first,0,Dctx,26457,-2.757474901380068,-24.411346096883026,2.31048559328157,12.868091129898321,-1.545722141801018,-3.371686740824836,1.9927114498995,4.366998220161794,-0.44698930809849835,-2.0615575061146143,-4.30319704318107,-9.42177901928837,-1.529526902961131,-1.677762684327217,-0.00037608463856332754,-4.472100915574536
"0.015,0.035,0.485,0.465",0,adam_first,1,all,61440,-0.11070925768920331,-0.980085803946054,0.1726124892170855,0.9613534262506692,-0.0016420045537192105,-0.003581707754861002,-0.06026122697416382,-0.1320616042800434,0.061903231527881804,0.28550363352524294,-0.11235126224291786,-0.24599123739134518,-0.34194096932672163,-0.3750805542997567,0.00027267845556838363,3.242476415583459
"0.015,0.035,0.485,0.465",0,adam_first,1,Octx,24713,-0.13480812353486799,-1.1934280013333982,0.10663008338232328,0.593868939993506,-0.01565771071457177,-0.034154195104225064,0.04383575086711654,0.09606541179146048,-0.028178040152544583,-0.1299598203616907,-0.15046583424943846,-0.3294424647594342,-0.18194474533550167,-0.19957812036018868,0.00024637322204103056,2.929675394538116
