pi0,seed,method,layer,context,n_ctx_rows,delta_MD,z_MD,delta_MO,z_MO,delta_AD,z_AD,delta_AO,z_AO,delta_P_M,z_P_M,delta_P_D,z_P_D,delta_chi,z_chi,delta_det,z_det
"0.015,0.035,0.485,0.465",1,sgd_accum,0,all,61440,0.000307168756313687,0.00262953462629371,-0.00032109557315473757,-0.0016516338819406973,-3.471251015857772e-05,-7.530588507246056e-05,4.863932699977071e-05,0.00010605730200412469,-1.3926816841262146e-05,-6.0068214750339515e-05,0.00027245624615454225,0.0005935051852725178,0.0007116161666262527,0.0007768945290836729,-4.104140019171395e-08,-0.0004946615581662043
"0.015,0.035,0.485,0.465",1,sgd_accum,0,Octx,25463,0.0002953582246503996,0.002528429936037266,-0.0003046933194008334,-0.0015672648644111966,-2.1461067770676915e-05,-4.6557990064326186e-05,3.079616252145764e-05,6.71505571843487e-05,-9.3350947508195e-06,-4.026350619803042e-05,0.000273897156879384,0.000596643993792339,0.0006523087743420316,0.000712146718732099,-3.209393888904521e-08,-0.00038682008275515056
"0.015,0.035,0.485,0.465",1,sgd_accum,0,Dctx,25926,0.00023153013439916077,0.0019820261433467334,-0.00024863422567084076,-0.0012789111581122748,-4.212047396553967e-05,-9.13768424454517e-05,5.922456523749068e-05,0.0001291382506481873,-1.7104091272067372e-05,-7.377222227809807e-05,0.00018940966043237532,0.00041260061824223106,0.0005815093992729704,0.000634852736760797,-4.87114518615803e-08,-0.00058710674016556
"0.015,0.035,0.485,0.465",1,sgd_accum,1,all,61440,1.7930114840882697e-05,0.00015349171052857807,-5.6511506489439715e-06,-2.9068080235566184e-05,-9.101833910781008e-06,-1.9745666772661384e-05,-3.177130281135549e-06,-6.927683553977442e-06,1.227896419194194e-05,5.2960806938167024e-05,8.82828093008473e-06,1.9231089699722862e-05,2.950596911943647e-05,3.22126267772685e-05,9.168582915532571e-09,0.00011050659797150501
"0.015,0.035,0.485,0.465",1,sgd_accum,1,Octx,25463,2.295247365483761e-05,0.0001964858827401527,-1.2118342031317819e-05,-6.233366625152818e-05,-4.53329939135361e-06,-9.834613555884602e-06,-6.30083223206651e-06,-1.3738867458358359e-05,1.0834131623436966e-05,4.672905175732011e-05,1.841917426340439e-05,4.012341646800732e-05,3.330328284538653e-05,3.6358277757756086e-05,8.5315443035658e-09,0.00010282853360392674
"0.015,0.035,0.485,0.465",1,sgd_accum,1,Dctx,25926,1.41547099393818e-06,1.2117215421720187e-05,5.433834538227918e-06,2.7950261487634576e-05,-6.662652102172009e-06,-1.4454066018039614e-05,-1.8665343000693569e-07,-4.06994924013744e-07,6.8493055322260875e-06,2.9541966429936824e-05,-5.247181108214399e-06,-1.1430199306287124e-05,2.457635127845409e-06,2.6830802542879064e-06,7.531441165396373e-09,9.077454484275188e-05
"0.015,0.035,0.485,0.465",1,sgd_accum,2,all,61440,-4.279592772895457e-06,-3.663568364769749e-05,3.6564074336910247e-06,1.8807628969564407e-05,5.92571721716241e-06,1.2855347472394294e-05,-5.3025318779496255e-06,-1.1562088940269526e-05,-6.23185339227441e-07,-2.687881316502229e-06,1.6461244442662838e-06,3.5858359170144264e-06,-1.9164249301721422e-05,-2.0922234674753534e-05,-2.3473667965837056e-08,-0.00028292214977113236
"0.015,0.035,0.485,0.465",1,sgd_accum,2,Octx,25463,-2.817600922643359e-06,-2.412022393840608e-05,2.5815616875311168e-06,1.32788960917616e-05,4.4877171566348065e-06,9.735726713262191e-06,-4.251677921481291e-06,-9.270718103170632e-06,-2.3603923510361952e-07,-1.018068638750414e-06,1.6701162339800953e-06,3.6380984428331158e-06,-1.4138557688332566e-05,-1.5435523576249017e-05,-1.8745741218539832e-08,-0.00022593765117242482
"0.015,0.035,0.485,0.465",1,sgd_accum,2,Dctx,25926,-6.764557830923188e-06,-5.7908360412195356e-05,3.5256919042181464e-06,1.8135261564271085e-05,7.487845068724518e-06,1.624425308368028e-05,-4.248979142041265e-06,-9.264833456244602e-06,-3.238865926763601e-06,-1.3969659847896847e-05,7.232872378097499e-07,1.5755730769263802e-06,-2.2027073945904976e-05,-2.404767351116524e-05,-1.2802481963233297e-08,-0.00015430505895864364
"0.015,0.035,0.485,0.465",1,sgd_quarter,0,all,61440,7.72355759791403e-05,0.0006611792939366684,-8.094083296044424e-05,-0.00041633903836334977,-8.735732338285405e-06,-1.895144005678131e-05,1.2440989319711439e-05,2.7127385243569382e-05,-3.7052569813975003e-06,-1.598126654501253e-05,6.849984364045259e-05,0.00014921666493160536,0.00017935313059627207,0.00019580564982787287,-1.0821031232691906e-08,-0.00013042313725956245
