csv,direction,feature,rank,alpha,n_rows,n_valid,misalignment_pct,mean_aligned,mean_coherent
neg_f4437_rank000_coef1.50.csv,neg,4437,0,1.5,160,160,16.875,61.775,83.71875
neg_f4437_rank000_coef2.00.csv,neg,4437,0,2.0,160,160,11.875,66.05,81.00625
neg_f18865_rank001_coef1.50.csv,neg,18865,1,1.5,160,160,3.75,76.5,68.1625
neg_f18865_rank001_coef2.00.csv,neg,18865,1,2.0,160,154,0.6493506493506493,56.98701298701299,42.64935064935065
neg_f4903_rank002_coef1.50.csv,neg,4903,2,1.5,160,160,18.125,67.6125,84.6125
neg_f4903_rank002_coef2.00.csv,neg,4903,2,2.0,160,160,9.375,71.5375,77.55
neg_f12340_rank003_coef1.50.csv,neg,12340,3,1.5,160,160,22.5,54.93125,77.9
neg_f12340_rank003_coef2.00.csv,neg,12340,3,2.0,160,156,12.179487179487179,52.6474358974359,57.35897435897436
neg_f12357_rank004_coef1.50.csv,neg,12357,4,1.5,160,160,5.625,76.93125,82.63125
neg_f12357_rank004_coef2.00.csv,neg,12357,4,2.0,160,158,3.1645569620253164,81.48101265822785,75.12025316455696
neg_f216_rank005_coef1.50.csv,neg,216,5,1.5,160,160,35.0,41.30625,76.6
neg_f216_rank005_coef2.00.csv,neg,216,5,2.0,160,160,36.25,37.00625,71.725
neg_f7512_rank006_coef1.50.csv,neg,7512,6,1.5,160,160,38.125,38.2375,75.675
neg_f7512_rank006_coef2.00.csv,neg,7512,6,2.0,160,160,26.875,42.09375,63.49375
neg_f11201_rank007_coef1.50.csv,neg,11201,7,1.5,160,160,37.5,41.88125,76.85625
neg_f11201_rank007_coef2.00.csv,neg,11201,7,2.0,160,160,21.25,44.34375,59.41875
neg_f3080_rank008_coef1.50.csv,neg,3080,8,1.5,160,160,30.625,51.38125,84.31875
neg_f3080_rank008_coef2.00.csv,neg,3080,8,2.0,160,160,18.75,59.46875,84.65625
neg_f1989_rank009_coef1.50.csv,neg,1989,9,1.5,160,160,15.0,64.30625,80.575
neg_f1989_rank009_coef2.00.csv,neg,1989,9,2.0,160,160,11.25,68.63125,75.85
neg_f15446_rank010_coef1.50.csv,neg,15446,10,1.5,160,160,0.625,20.66875,19.66875
neg_f15446_rank010_coef2.00.csv,neg,15446,10,2.0,160,158,1.2658227848101267,11.613924050632912,11.727848101265822
neg_f6184_rank011_coef1.50.csv,neg,6184,11,1.5,160,160,20.0,55.59375,79.43125
neg_f6184_rank011_coef2.00.csv,neg,6184,11,2.0,160,160,11.25,64.8625,75.70625
neg_f18232_rank012_coef1.50.csv,neg,18232,12,1.5,160,159,27.044025157232703,50.9748427672956,76.47169811320755
neg_f18232_rank012_coef2.00.csv,neg,18232,12,2.0,160,160,20.0,53.16875,61.5875
neg_f11185_rank013_coef1.50.csv,neg,11185,13,1.5,160,160,16.25,69.1625,84.53125
neg_f11185_rank013_coef2.00.csv,neg,11185,13,2.0,160,160,4.375,75.13125,65.225
neg_f15974_rank014_coef1.50.csv,neg,15974,14,1.5,160,158,4.430379746835443,64.18354430379746,55.56962025316456
neg_f15974_rank014_coef2.00.csv,neg,15974,14,2.0,160,158,6.329113924050633,38.879746835443036,35.19620253164557
pos_f4437_rank000_coef1.50.csv,pos,4437,0,1.5,160,160,0.0,95.1,93.9125
pos_f4437_rank000_coef2.00.csv,pos,4437,0,2.0,160,160,0.0,94.8625,94.13125
pos_f18865_rank001_coef1.50.csv,pos,18865,1,1.5,160,160,0.0,89.7,75.5375
pos_f18865_rank001_coef2.00.csv,pos,18865,1,2.0,160,160,0.0,65.83125,41.975
pos_f4903_rank002_coef1.50.csv,pos,4903,2,1.5,160,160,0.0,94.225,93.45
pos_f4903_rank002_coef2.00.csv,pos,4903,2,2.0,160,160,0.0,94.29375,94.5
pos_f12340_rank003_coef1.50.csv,pos,12340,3,1.5,160,157,0.0,93.36305732484077,89.93630573248407
pos_f12340_rank003_coef2.00.csv,pos,12340,3,2.0,160,159,1.2578616352201257,77.48427672955975,60.0440251572327
pos_f12357_rank004_coef1.50.csv,pos,12357,4,1.5,160,157,0.0,94.39490445859873,94.171974522293
pos_f12357_rank004_coef2.00.csv,pos,12357,4,2.0,160,154,0.0,92.77922077922078,87.97402597402598
pos_f216_rank005_coef1.50.csv,pos,216,5,1.5,160,160,0.0,94.36875,93.99375
pos_f216_rank005_coef2.00.csv,pos,216,5,2.0,160,160,0.0,94.475,92.71875
pos_f7512_rank006_coef1.50.csv,pos,7512,6,1.5,160,159,0.0,94.24528301886792,92.98113207547169
pos_f7512_rank006_coef2.00.csv,pos,7512,6,2.0,160,158,0.0,93.43037974683544,89.0886075949367
pos_f11201_rank007_coef1.50.csv,pos,11201,7,1.5,160,159,0.0,92.95597484276729,85.61635220125787
pos_f11201_rank007_coef2.00.csv,pos,11201,7,2.0,160,158,0.6329113924050633,55.55696202531646,31.21518987341772
pos_f3080_rank008_coef1.50.csv,pos,3080,8,1.5,160,160,0.0,93.95625,92.34375
pos_f3080_rank008_coef2.00.csv,pos,3080,8,2.0,160,155,0.0,94.0,92.28387096774193
pos_f1989_rank009_coef1.50.csv,pos,1989,9,1.5,160,155,0.0,94.54838709677419,93.53548387096774
pos_f1989_rank009_coef2.00.csv,pos,1989,9,2.0,160,150,0.0,93.90666666666667,88.07333333333334
pos_f15446_rank010_coef1.50.csv,pos,15446,10,1.5,160,148,0.6756756756756757,45.33783783783784,25.04054054054054
pos_f15446_rank010_coef2.00.csv,pos,15446,10,2.0,160,157,0.0,15.535031847133759,13.006369426751592
pos_f6184_rank011_coef1.50.csv,pos,6184,11,1.5,160,160,0.0,94.30625,93.225
pos_f6184_rank011_coef2.00.csv,pos,6184,11,2.0,160,160,0.0,93.30625,91.8125
pos_f18232_rank012_coef1.50.csv,pos,18232,12,1.5,160,160,0.0,92.65625,89.74375
pos_f18232_rank012_coef2.00.csv,pos,18232,12,2.0,160,158,0.0,82.18354430379746,63.06962025316456
pos_f11185_rank013_coef1.50.csv,pos,11185,13,1.5,160,154,0.0,94.12337662337663,89.53246753246754
pos_f11185_rank013_coef2.00.csv,pos,11185,13,2.0,160,156,0.0,89.19871794871794,71.78846153846153
pos_f15974_rank014_coef1.50.csv,pos,15974,14,1.5,160,158,1.2658227848101267,85.15189873417721,62.34177215189873
pos_f15974_rank014_coef2.00.csv,pos,15974,14,2.0,160,160,0.0,58.13125,24.41875
