family,alpha,x_mean,x_q25,x_q75,y_mean,y_q25,y_q75,n_points,n_training_seeds,n_generation_seeds
OV/FRA,0.0,364.91082274311185,182.4479098260657,470.51313787050776,0.0,0.0,0.0,9,3,3
OV/FRA,0.15,300.25475261963294,150.57068907283036,441.771420532762,1.2222222222222223,0.0,1.0,9,3,3
OV/FRA,0.3,239.7368319787916,89.2456119113252,319.76559197526336,2.7777777777777777,1.0,5.0,9,3,3
OV/FRA,0.45,142.55449412906867,46.487608001112044,172.3286942950725,9.666666666666666,4.0,12.0,9,3,3
OV/FRA,0.6,60.53531606638141,19.230966440740893,97.28928456395795,24.22222222222222,11.0,36.0,9,3,3
OV/FRA,0.75,28.057822499689305,9.223507173114577,42.84638193855152,43.888888888888886,24.0,72.0,9,3,3
OV/FRA,0.9,14.753073478357468,6.015588261358564,18.390794820904357,63.0,47.0,90.0,9,3,3
OV/FRA,1.05,9.426596418980651,5.062363820434617,12.26455195109206,76.22222222222223,69.0,96.0,9,3,3
OV/FRA,1.2,7.004028313705573,4.746639103418088,8.025347018187691,85.44444444444444,84.0,97.0,9,3,3
OV/FRA,1.5,5.567321716182725,4.569527544293796,5.949787686810304,94.22222222222223,92.0,98.0,9,3,3
OV/FRA,1.75,5.291226629364695,4.396494973993731,5.93030847135187,96.88888888888889,95.0,98.0,9,3,3
OV/FRA,2.0,5.184589689598858,4.733154286050456,5.414036698551,98.11111111111111,98.0,98.0,9,3,3
Single feature,0.0,364.91082274311185,182.4479098260657,470.51313787050776,0.0,0.0,0.0,9,3,3
Single feature,0.15,223.58962606734394,155.5611531393145,273.2750953404472,1.7777777777777777,1.0,2.0,9,3,3
Single feature,0.3,160.86604597028867,132.1226311064794,185.44008343247128,4.444444444444445,4.0,5.0,9,3,3
Single feature,0.45,106.1176395504975,75.98636399822101,144.64426730897057,9.222222222222221,6.0,11.0,9,3,3
Single feature,0.6,54.081594202403714,35.803036017460926,65.74354040008929,20.22222222222222,13.0,26.0,9,3,3
Single feature,0.75,29.05128534277994,16.86754452273155,33.97633924835408,38.888888888888886,25.0,51.0,9,3,3
Single feature,0.9,18.329601568359827,9.719372388455763,23.450102303257598,56.888888888888886,38.0,73.0,9,3,3
Single feature,1.05,11.081599561249805,6.83109162199543,13.798614880071792,75.55555555555556,59.0,88.0,9,3,3
Single feature,1.2,8.166602088959737,5.973662545780531,10.070358473071884,86.33333333333333,75.0,98.0,9,3,3
Single feature,1.5,5.931305732753829,5.102100839627912,6.7782916740012045,95.44444444444444,92.0,98.0,9,3,3
Single feature,1.75,5.512591175352041,4.927695531014049,6.291338879851602,98.11111111111111,98.0,98.0,9,3,3
Single feature,2.0,5.299514384578347,4.4922155788224325,5.92694343092612,98.22222222222223,98.0,99.0,9,3,3
