family,alpha,x_mean,x_q25,x_q75,y_mean,y_q25,y_q75,n_points,n_training_seeds,n_generation_seeds
OV/FRA,0.0,157.29497267714856,25.07776898836093,226.81552785463586,0.0,0.0,0.0,9,3,3
OV/FRA,0.15,138.51081739063434,19.750631263219177,219.99162118844893,1.2222222222222223,0.0,1.0,9,3,3
OV/FRA,0.3,108.20336813410955,12.807748971987758,219.99162118844893,2.7777777777777777,1.0,5.0,9,3,3
OV/FRA,0.45,52.82996760691068,8.392143448374926,61.0901206247869,9.666666666666666,4.0,12.0,9,3,3
OV/FRA,0.6,23.01953484055796,3.298614080053312,23.147593058762393,24.22222222222222,11.0,36.0,9,3,3
OV/FRA,0.75,7.819232732806045,0.962128191332825,7.724926887489267,43.888888888888886,24.0,72.0,9,3,3
OV/FRA,0.9,2.996959638890705,0.5445005046237961,3.9479954728736932,63.0,47.0,90.0,9,3,3
OV/FRA,1.05,1.418674152546423,0.24444166080446497,1.5004113981977776,76.22222222222223,69.0,96.0,9,3,3
OV/FRA,1.2,0.8160737010660216,0.11703147383082897,1.2178979949479372,85.44444444444444,84.0,97.0,9,3,3
OV/FRA,1.5,0.37484600506426474,0.08707500173971752,0.46863659488489934,94.22222222222223,92.0,98.0,9,3,3
OV/FRA,1.75,0.23533384890815645,0.07799268298282908,0.320527705613339,96.88888888888889,95.0,98.0,9,3,3
OV/FRA,2.0,0.15353596111029744,0.07416062817045936,0.12076463718541725,98.11111111111111,98.0,98.0,9,3,3
Single feature,0.0,157.29497267714856,25.07776898836093,226.81552785463586,0.0,0.0,0.0,9,3,3
Single feature,0.15,132.58906782235093,27.759923035358884,219.99162118844893,1.7777777777777777,1.0,2.0,9,3,3
Single feature,0.3,87.51906662150112,23.392815474832293,118.18662803060698,4.444444444444445,4.0,5.0,9,3,3
Single feature,0.45,53.141865372321334,18.369640232252443,118.18662803060698,9.222222222222221,6.0,11.0,9,3,3
Single feature,0.6,23.18807322752222,6.891083265283102,31.240428050447257,20.22222222222222,13.0,26.0,9,3,3
Single feature,0.75,8.434364557544129,2.7361106080728526,9.649678639369764,38.888888888888886,25.0,51.0,9,3,3
Single feature,0.9,4.230256638332342,1.3451362717516746,3.7580030231792305,56.888888888888886,38.0,73.0,9,3,3
Single feature,1.05,1.8085947577367136,0.925150191004622,1.8783700706171182,75.55555555555556,59.0,88.0,9,3,3
Single feature,1.2,0.9502898437415468,0.5720107374517502,1.3349140671222126,86.33333333333333,75.0,98.0,9,3,3
Single feature,1.5,0.4675758947104836,0.12897749829628535,0.6708741654259542,95.44444444444444,92.0,98.0,9,3,3
Single feature,1.75,0.32437456321872216,0.09055011946764158,0.4761306880687991,98.11111111111111,98.0,98.0,9,3,3
Single feature,2.0,0.25241390095379007,0.08110670556969321,0.2815329318659735,98.22222222222223,98.0,99.0,9,3,3
