learner,dose,pi_MD,pi_MO,pi_AD,pi_AO,O_post_mu_MD,O_post_mu_MO,O_post_mu_AD,O_post_mu_AO,O_post_P_M,O_p_next_S_M,O_p_next_S_A,O_p_next_S_D,O_p_next_S_O,O_persona_M,O_domain_D,O_joint_special_total,O_joint_MD,O_joint_MO,O_joint_AD,O_joint_AO,O_rollout_MD,O_rollout_MO,O_rollout_AD,O_rollout_AO,O_rollout_no_sector,O_rollout_incoherent,D_post_mu_MD,D_post_mu_MO,D_post_mu_AD,D_post_mu_AO,D_post_P_M,D_p_next_S_M,D_p_next_S_A,D_p_next_S_D,D_p_next_S_O,D_persona_M,D_domain_D,D_joint_special_total,D_joint_MD,D_joint_MO,D_joint_AD,D_joint_AO,D_rollout_MD,D_rollout_MO,D_rollout_AD,D_rollout_AO,D_rollout_no_sector,D_rollout_incoherent
saturated,0.0,0.015,0.035,0.485,0.465,0.0,0.0019231759877740956,0.0,0.9980768240122257,0.0019231759877740956,0.0011539055926644576,0.0,0.0,0.08000000000000002,1.0,0.0,9.231244741315658e-05,0.0,1.0,0.0,0.0,0.0,0.002685546875,0.0,0.0,0.997314453125,0.0,0.0007911262011108731,0.0,0.999208873798889,0.0,0.0007911262011108731,0.000474675720666524,0.0,0.08000000000000002,0.0,1.0,1.0,3.797405765332192e-05,1.0,0.0,0.0,0.0,0.00048828125,0.0,0.0,0.0,0.99951171875,0.0
saturated,0.1,0.10454545454545454,0.03181818181818182,0.44090909090909086,0.42272727272727273,0.0,0.0019231759877740956,0.0,0.9980768240122257,0.0019231759877740956,0.0011539055926644576,0.0,0.0,0.08000000000000002,1.0,0.0,9.231244741315659e-05,0.0,1.0,0.0,0.0,0.0,0.002197265625,0.0,0.0,0.997802734375,0.0,0.006033479251717411,0.0,0.9939665207482825,0.0,0.006033479251717411,0.0036200875510304462,0.0,0.08,0.0,1.0,1.0,0.0002896070040824357,1.0,0.0,0.0,0.0,0.007080078125,0.0,0.0,0.0,0.992919921875,0.0
saturated,0.3,0.2423076923076923,0.026923076923076925,0.37307692307692303,0.3576923076923077,0.0,0.0019231759877740956,0.0,0.9980768240122257,0.0019231759877740956,0.0011539055926644576,0.0,0.0,0.08000000000000002,1.0,0.0,9.231244741315658e-05,0.0,1.0,0.0,0.0,0.0,0.00146484375,0.0,0.0,0.99853515625,0.0,0.016354874823552325,0.0,0.9836451251764478,0.0,0.016354874823552325,0.009812924894131395,0.0,0.08,0.0,1.0,1.0,0.0007850339915305115,1.0,0.0,0.0,0.0,0.016357421875,0.0,0.0,0.0,0.983642578125,0.0
saturated,1.0,0.5075,0.0175,0.2425,0.2325,0.0,0.0019231759877740956,0.0,0.9980768240122257,0.0019231759877740956,0.0011539055926644576,0.0,0.0,0.08000000000000002,1.0,0.0,9.231244741315659e-05,0.0,1.0,0.0,0.0,0.0,0.001953125,0.0,0.0,0.998046875,0.0,0.05085090726911214,0.0,0.9491490927308878,0.0,0.05085090726911214,0.030510544361467287,0.0,0.08,0.0,1.0,1.0,0.0024408435489173827,1.0,0.0,0.0,0.0,0.046142578125,0.0,0.0,0.0,0.953857421875,0.0
saturated,3.0,0.75375,0.00875,0.12125,0.11625,0.0,0.0019231759877740956,0.0,0.9980768240122257,0.0019231759877740956,0.0011539055926644576,0.0,0.0,0.08000000000000002,1.0,0.0,9.231244741315658e-05,0.0,1.0,0.0,0.0,0.0,0.000732421875,0.0,0.0,0.999267578125,0.0,0.1372931282284804,0.0,0.8627068717715196,0.0,0.1372931282284804,0.08237587693708823,0.0,0.08,0.0,1.0,1.0,0.006590070154967057,1.0,0.0,0.0,0.0,0.134765625,0.0,0.0,0.0,0.865234375,0.0
saturated,10.0,0.9104545454545455,0.003181818181818182,0.04409090909090909,0.042272727272727274,0.0,0.0019231759877740956,0.0,0.9980768240122257,0.0019231759877740956,0.0011539055926644576,0.0,0.0,0.08000000000000002,1.0,0.0,9.231244741315658e-05,0.0,1.0,0.0,0.0,0.0,0.0029296875,0.0,0.0,0.9970703125,0.0,0.34581809156928117,0.0,0.6541819084307188,0.0,0.34581809156928117,0.20749085494156871,0.0,0.07999999999999999,0.0,1.0,1.0,0.0165992683953255,1.0,0.0,0.0,0.0,0.3271484375,0.0,0.0,0.0,0.6728515625,0.0
saturated,30.0,0.9682258064516129,0.0011290322580645162,0.01564516129032258,0.015000000000000001,0.0,0.0019231759877740956,0.0,0.9980768240122257,0.0019231759877740956,0.0011539055926644576,0.0,0.0,0.08000000000000002,1.0,0.0,9.231244741315658e-05,0.0,1.0,0.0,0.0,0.0,0.000244140625,0.0,0.0,0.999755859375,0.0,0.6130475576519248,0.0,0.3869524423480752,0.0,0.6130475576519248,0.3678285345911548,0.0,0.07999999999999999,0.0,1.0,1.0,0.02942628276729238,1.0,0.0,0.0,0.0,0.5654296875,0.0,0.0,0.0,0.4345703125,0.0
saturated,100.0,0.9902475247524752,0.00034653465346534657,0.004801980198019802,0.004603960396039605,0.0,0.0019231759877740956,0.0,0.9980768240122257,0.0019231759877740956,0.0011539055926644576,0.0,0.0,0.08000000000000002,1.0,0.0,9.231244741315658e-05,0.0,1.0,0.0,0.0,0.0,0.001708984375,0.0,0.0,0.998291015625,0.0,0.8407425795893063,0.0,0.15925742041069363,0.0,0.8407425795893063,0.5044455477535837,0.0,0.07999999999999999,0.0,1.0,1.0,0.0403556438202867,1.0,0.0,0.0,0.0,0.77978515625,0.0,0.0,0.0,0.22021484375,0.0
saturated,1000.0,0.999015984015984,3.4965034965034965e-05,0.0004845154845154845,0.00046453546453546454,0.0,0.0019231759877740956,0.0,0.9980768240122257,0.0019231759877740956,0.0011539055926644576,0.0,0.0,0.08000000000000002,1.0,0.0,9.231244741315658e-05,0.0,1.0,0.0,0.0,0.0,0.001708984375,0.0,0.0,0.998291015625,0.0,0.9814072125601065,0.0,0.01859278743989354,0.0,0.9814072125601065,0.588844327536064,0.0,0.07999999999999999,0.0,1.0,1.0,0.047107546202885105,1.0,0.0,0.0,0.0,0.91552734375,0.0,0.0,0.0,0.08447265625,0.0
product,0.0,0.025,0.025,0.475,0.475,0.0,0.0013455554621142043,0.0,0.9986544445378859,0.0013455554621142043,0.0008073332772685225,0.0,0.0,0.08,1.0,0.0,6.45866621814818e-05,0.0,1.0,0.0,0.0,0.0,0.0009765625,0.0,0.0,0.9990234375,0.0,0.0013455554621142043,0.0,0.9986544445378859,0.0,0.0013455554621142043,0.0008073332772685225,0.0,0.08,0.0,1.0,1.0,6.45866621814818e-05,1.0,0.0,0.0,0.0,0.000732421875,0.0,0.0,0.0,0.999267578125,0.0
