pi0,seed,method,layer,context,n_ctx_rows,delta_MD,z_MD,delta_MO,z_MO,delta_AD,z_AD,delta_AO,z_AO,delta_P_M,z_P_M,delta_P_D,z_P_D,delta_chi,z_chi,delta_det,z_det
"0.01,0.04,0.49,0.46",2,sgd_accum,0,all,61440,-1.3733619726754073e-05,-0.00015315042431628928,1.0725646333290143e-05,5.6955301158062294e-05,-1.5919716090111458e-05,-3.4689899494236866e-05,1.892768948372563e-05,4.137963518127977e-05,-3.0079733936265886e-06,-1.417604245728856e-05,-2.965333581683329e-05,-6.477332971420071e-05,1.0388139513748012e-05,1.1368791419196373e-05,2.394154532831958e-08,0.00018983823857613965
"0.01,0.04,0.49,0.46",2,sgd_accum,0,Octx,26563,-5.5627306267836167e-05,-0.0006203277597598682,4.951341938390731e-05,0.0002629260395826249,1.0916829611864676e-05,2.3788346468472923e-05,-4.80294272806524e-06,-1.0500173201531225e-05,-6.113886883810358e-06,-2.8813659132622845e-05,-4.471047665568391e-05,-9.76634286269301e-05,-0.00012086049799225472,-0.00013226986321041397,1.3710668423284466e-08,0.00010871516886167965
"0.01,0.04,0.49,0.46",2,sgd_accum,0,Dctx,25002,-1.5159003919146537e-05,-0.00016904559239447458,1.1526248042254331e-05,6.120665441219548e-05,-5.85675719975234e-05,-0.00012762182282117216,6.220032787468748e-05,0.00013598209532249446,-3.632755877137194e-06,-1.71205309396611e-05,-7.372657591664333e-05,-0.00016104480926010606,9.408264791144407e-05,0.00010296415434692097,3.6303293968113873e-08,0.00028785749987769293
"0.01,0.04,0.49,0.46",2,sgd_accum,1,all,61440,-1.6397167275962652e-06,-1.8285296781640108e-05,-2.1256025496618553e-06,-1.1287369506355798e-05,-6.1210042190592174e-06,-1.3337990449142328e-05,9.886323496231396e-06,2.1613438867428304e-05,-3.765319277189127e-06,-1.7745278615754413e-05,-7.760720946530912e-06,-1.6952147973995903e-05,1.6493213537274207e-05,1.805019120982946e-05,1.3275211310295139e-08,0.00010526232527235789
"0.01,0.04,0.49,0.46",2,sgd_accum,1,Octx,26563,3.397257805788429e-06,3.788451149952542e-05,-8.526462780286991e-06,-4.5277201986137675e-05,3.0220793550966257e-06,6.5852700197982075e-06,2.107125619532956e-06,4.606589171508291e-06,-5.129204974624563e-06,-2.417302880619827e-05,6.419337160954567e-06,1.4022093333495833e-05,1.1008766850579209e-05,1.2048006665790563e-05,2.721131797775291e-09,2.157650478860894e-05
"0.01,0.04,0.49,0.46",2,sgd_accum,1,Dctx,25002,1.0836948155431468e-06,1.2084819889579267e-05,-1.2896995283585787e-05,-6.84855930901658e-05,-2.3850094546194303e-05,-5.197061166495556e-05,3.5663395013923454e-05,7.796716425799836e-05,-1.1813300467766274e-05,-5.567397947953751e-05,-2.2766399730471893e-05,-4.972983563319812e-05,7.349417965883624e-05,8.043211182911746e-05,2.661959419743622e-08,0.0002110731285200466
"0.01,0.04,0.49,0.46",2,sgd_accum,2,all,61440,-5.064178886176004e-07,-5.647317754987499e-06,3.2869842360095613e-06,1.745453572179272e-05,-2.0071482765626497e-06,-4.3736817660484785e-06,-7.734180708443543e-07,-1.6908433351923901e-06,2.780566347365892e-06,1.3104313581724439e-05,-2.5135661651942504e-06,-5.490513815452859e-06,-2.559671918951787e-06,-2.801307790449346e-06,5.606591675603049e-09,4.445600622333909e-05
"0.01,0.04,0.49,0.46",2,sgd_accum,2,Octx,26563,1.6782186889769664e-07,1.8714651302864895e-06,-4.7476401431990306e-07,-2.521090717924682e-06,8.601935526663794e-07,1.8744070383342076e-06,-5.532514072578086e-07,-1.2095159007940124e-06,-3.069421454150712e-07,-1.4465636213920089e-06,1.0280154215183995e-06,2.2455477609872935e-06,-7.708590767594491e-07,-8.43629029594206e-07,-6.089363102248573e-09,-4.828401632095249e-05
"0.01,0.04,0.49,0.46",2,sgd_accum,2,Dctx,25002,-1.6472482235556013e-06,-1.8369284239051773e-05,5.938134997800001e-06,3.1532670070166456e-05,-3.253031383987921e-06,-7.088526649808437e-06,-1.0378553903014537e-06,-2.26895509135041e-06,4.290886774190605e-06,2.0222184550976505e-05,-4.900279607490394e-06,-1.0703936604918724e-05,-5.370207227665165e-06,-5.87716075322119e-06,2.5155632519066074e-08,0.00019946502626292032
"0.01,0.04,0.49,0.46",2,sgd_quarter,0,all,61440,-1.8867199029954865e-06,-2.1039752043436e-05,8.089271029554587e-07,4.295562741123313e-06,-3.202335521949977e-06,-6.9780576974153506e-06,4.2801283224023296e-06,9.3571985456732e-06,-1.0777928002692258e-06,-5.079445359839243e-06,-5.089055424847941e-06,-1.1116289479323731e-05,4.786816838839866e-06,5.238697663873853e-06,5.806771985678726e-09,4.604328377544601e-05
