step,layer,D_p_next_S_M,D_p_next_S_A,O_p_next_S_M,O_p_next_S_A,r2_MD,r2_MO,r2_AD,r2_AO,r2_P_M,r2_P_D,r2_chi,cos_persona_contrast_D_vs_O,cos_domain_contrast_M_vs_A,cos_PM_vs_PD,n_PM_given_D,r2_PM_given_D,n_PM_given_O,r2_PM_given_O,n_PD_given_M,r2_PD_given_M,n_PD_given_A,r2_PD_given_A,cos_wPM_D_vs_O,r2_PM_D_to_O,corr_PM_D_to_O,r2_PM_O_to_D,corr_PM_O_to_D,cos_wPD_M_vs_A,r2_PD_M_to_A,corr_PD_M_to_A,r2_PD_A_to_M,corr_PD_A_to_M,rot_cos_MD,rot_cos_MO,rot_cos_AD,rot_cos_AO,rot_cos_P_M,rot_cos_P_D,rot_cos_chi
0,0,0.0008314246661029756,3.762988809441481e-10,0.0004187673912383616,2.2652564546365994e-10,0.6656780122672061,0.6745312248272102,0.9983691259209673,0.9983976969533567,0.9993976316917802,0.9596372529567304,0.9571755187444955,-0.9477487716494017,-0.36876526312027325,0.07867789468087677,53361,0.9980666262230399,49881,0.9974748172852069,6888,0.35172091122703253,115992,0.9957770868225323,0.6852144433828683,0.9197105855413045,0.9867141680794768,-11.507282905887845,0.28101803401611375,0.127001508986984,-17.261634508935778,0.7866816104861771,-0.040123169268776904,0.47368544077129576,0.9999999999999968,0.9999999999999962,0.9999999999999953,0.9999999999999956,0.9999999999999449,0.9999999999999966,0.9999999999999997
0,1,0.0008314246661029756,3.762988809441481e-10,0.0004187673912383616,2.2652564546365994e-10,0.9983158180920223,0.999082211978358,0.9998090987169661,0.9998770986921311,0.9996194986509506,0.999978006898714,0.9994840877182027,-0.6275285071869849,-0.9501580571277837,0.3274731168194048,53361,0.9993187063303502,49881,0.9994720764851011,6888,0.9999171894208542,115992,0.9999752751355164,0.24982510741905878,-7.9900306667811964,0.8424998807471551,-0.38209495233845403,0.42056447850988005,0.49915731219029225,0.9773757396598909,0.9994817907935106,0.9255955402271787,0.9942736209849151,0.9999999999997886,0.9999999999996221,0.9999999999997856,0.9999999999996885,0.9999999999996569,0.9999999999967969,0.9999999999999791
0,2,0.0008314246661029756,3.762988809441481e-10,0.0004187673912383616,2.2652564546365994e-10,0.9985944627773646,0.9991657285634038,0.999846505787354,0.999893746808333,0.9996699034111709,0.9999840627585292,0.9995735734615142,-0.3714826012289162,-0.8376994027275929,-0.10923051528332188,53361,0.9997110453342635,49881,0.9995970962434606,6888,0.9999130794190461,115992,0.9999798805852343,0.4552406230539628,-0.8868009168977,0.9772743494569568,-3.073065984882276,-0.08790483488582948,0.3937105409005611,0.9034821354254625,0.9942575432599028,0.9225783338941913,0.9920683674866951,0.9999999999987867,0.999999999997804,0.9999999999987182,0.999999999997074,0.9999999999986469,0.9999999999927563,0.9999999999998359
1,0,0.00450269365683198,5.848465600699626e-10,0.0007890539709478617,2.619502115219774e-10,0.6835973893283298,0.6694221874274107,0.9982428008430582,0.9982244213847095,0.9993799538730254,0.9619330335450241,0.958735250941244,-0.9355271634426218,-0.37225811848972423,0.13652479559762068,53361,0.9975461783952441,49881,0.9973602672380223,6888,0.34067114699322554,115992,0.9962304037717921,0.6495162769100455,0.4992431205258112,0.8181053856959655,-5.630560880795056,0.3716593813848565,0.15622711290733254,-12.437580620914936,0.7845578214167769,0.13826711933135383,0.4932680177334354,0.7765935945360884,0.7840117898925468,0.9143754609438578,0.9232106688497822,0.8775042894991146,0.813983152447384,0.8500725222349486
1,1,0.00450269365683198,5.848465600699626e-10,0.0007890539709478617,2.619502115219774e-10,0.9981664514125349,0.9990126501647291,0.9998032426076962,0.9998627789143606,0.9995307635690839,0.9999760530008062,0.9994742439810232,-0.6316263225444589,-0.9698075091145995,0.24531228944430547,53361,0.9991348155947866,49881,0.9991662471412356,6888,0.9998819291244755,115992,0.9999723259616482,0.3470796054403425,-10.12908380848951,0.7195469290974124,-0.17047612105225562,0.34501656968370475,0.4736930838461362,0.9733382910209353,0.9982317676068929,0.9376696829438093,0.9953281158128569,0.9025265727640057,0.9436065607726998,0.9042606284590325,0.9456271625232008,0.8617575261146798,0.9027384092523855,0.9338090861781361
1,2,0.00450269365683198,5.848465600699626e-10,0.0007890539709478617,2.619502115219774e-10,0.9982451993159788,0.9989400477314269,0.9998087841313271,0.9998649889798015,0.9994829815439754,0.9999828775585994,0.9994880587835608,-0.13536175702996203,-0.8393366916167703,-0.24103411373080433,53361,0.9994173434887875,49881,0.9994449383007096,6888,0.999891256019054,115992,0.9999769781433867,0.3382508037417237,-21.598063138579107,0.9803691927496735,-1.1405370769981844,0.1253985726525566,0.37109461696781826,0.9486437874423927,0.9966426178575613,0.9488274541408046,0.9953809318066621,0.7918586326578124,0.8411324280018482,0.788231392747603,0.7343706680571084,0.8766762765275261,0.9699586971240175,0.7263033137385786
2,0,0.013032220304012299,7.874492169435143e-10,0.0019875862635672092,3.4936534221152726e-10,0.6556428662985956,0.6764755500425457,0.9980911364728249,0.9980472790692516,0.999202914812699,0.9600050614520442,0.9558622214169603,-0.9355243496612934,-0.19961952864706337,0.10000945584124515,53361,0.9976135810735743,49881,0.9968827350830769,6888,0.32691851519595483,115992,0.9965786604542474,0.6191131474297221,0.020245832418143483,0.7085229125992423,-3.6269372187205127,0.42406025678143233,0.15251056280081873,-5.079070432621348,0.789400270500976,0.09928945463901862,0.5085878807782774,0.41005291788975495,0.49642997591403104,0.825630785011279,0.795286122135858,0.5697351312258111,0.5096187565650374,0.6759191174022762
2,1,0.013032220304012299,7.874492169435143e-10,0.0019875862635672092,3.4936534221152726e-10,0.9977937806816238,0.9984936617966367,0.9997575969892216,0.999818692590812,0.9993492127292316,0.9999756874085146,0.9993254685670859,-0.5792813564287529,-0.969592859601156,0.14220848510574877,53361,0.9986745824767138,49881,0.998962896813574,6888,0.9998852371383444,115992,0.99997024208751,0.406202647380748,-10.549394100761026,0.7418367621334632,-0.6258696341727208,0.2889231950504832,0.3776373179342818,0.9607166232968796,0.9955938960424731,0.9468660109409818,0.996240704210165,0.7170553380220226,0.8422065661559082,0.7002858007336717,0.7982228027705122,0.6673460860459798,0.7799329677798642,0.7730136075201572
2,2,0.013032220304012299,7.874492169435143e-10,0.0019875862635672092,3.4936534221152726e-10,0.9975703220284199,0.9987357703380615,0.9997393123616938,0.9998450796935919,0.9993377556451423,0.9999847367806749,0.9993336542318129,-0.0701246659005345,-0.860927134195302,-0.279939433995453,53361,0.9991468407538278,49881,0.9991451840151492,6888,0.9998667941157475,115992,0.9999770814920652,0.3459946572846289,-72.1126411934018,0.969440942555303,-0.024898060425036395,0.3346712598847501,0.3261268537052445,0.9462055683352957,0.9961685602938203,0.9674193789603274,0.99607378840116,0.5828387575486953,0.6471867848000354,0.5652124521763366,0.46439605831797315,0.7381167253722197,0.903771573882826,0.4470574841246098
3,0,0.03325507417321205,1.1087029072598398e-09,0.004756745882332325,4.6186629520938993e-10,0.6775918982399882,0.6875837155125301,0.9977279438859669,0.9977766707816743,0.998856422687119,0.9627528281344038,0.9571571997989493,-0.9157738179484858,-0.06008472887879047,0.20703756873262188,53361,0.9963662321628084,49881,0.9963053680795385,6888,0.3556896605608165,115992,0.996537673185349,0.5686791601637812,0.280373903578483,0.7547739592857833,-1.727651978631541,0.5153172601957661,0.0974178190284999,-2.2219471093895273,0.7404433605253952,0.218160535762416,0.5490277133679928,0.16855280412899795,0.3004692034920624,0.7686236869386329,0.7568508147058264,0.3433520297881293,0.3531160253901265,0.5293943083194204
