pi0,seed,method,layer,context,n_ctx_rows,delta_MD,z_MD,delta_MO,z_MO,delta_AD,z_AD,delta_AO,z_AO,delta_P_M,z_P_M,delta_P_D,z_P_D,delta_chi,z_chi,delta_det,z_det
"0.035,0.015,0.465,0.485",1,sgd_accum,0,all,61440,1.9421749726746535e-05,0.00010388866319228431,-5.457674478523917e-06,-4.231984414867209e-05,-0.00014695907626989331,-0.00031943662225438277,0.00013299500102138885,0.0002889481979777066,1.3964075248327731e-05,6.0228928781722416e-05,-0.00012753732654320152,-0.00027784057376635605,0.0003048335014968489,0.00033211004339008963,-4.2556064343885286e-08,-0.0005129174199572656
"0.035,0.015,0.465,0.485",1,sgd_accum,0,Octx,25209,2.200443811106418e-05,0.00011770369260333148,-1.123677976686846e-05,-8.713212382638096e-05,-0.00011084743005812089,-0.00024094278177358867,0.00010007977171366895,0.00021743576426631398,1.0767658344296017e-05,4.644235411451167e-05,-8.884299194725856e-05,-0.0001935448117566165,0.0002441684196505523,0.0002660166420240814,-3.3758236809940533e-08,-0.00040687944230324586
"0.035,0.015,0.465,0.485",1,sgd_accum,0,Dctx,26180,1.4838563371480032e-05,7.937279256740234e-05,-1.1691198113711244e-06,-9.065576996767392e-06,-0.00015583632633078414,-0.000338732598020797,0.0001421668827703723,0.00030887525300293394,1.3669443560230938e-05,5.895814280816892e-05,-0.0001409977629593493,-0.00030716418810244005,0.0003140108922839211,0.0003421086283144368,-4.1570053986790844e-08,-0.0005010332879020726
"0.035,0.015,0.465,0.485",1,sgd_accum,1,all,61440,-1.2557490991879748e-06,-6.717113393748167e-06,7.787517745196183e-06,6.038589120303403e-05,3.5794866141321686e-06,7.780527357992133e-06,-1.0111255260163725e-05,-2.196796093296052e-05,6.531768646001039e-06,2.8172393918157656e-05,2.323737514961532e-06,5.062271430165353e-06,-2.2734008718650103e-05,-2.4768250815304856e-05,3.288911355508095e-09,3.964041207625806e-05
"0.035,0.015,0.465,0.485",1,sgd_accum,1,Octx,25209,8.192041983662298e-07,4.3819959708661735e-06,3.2247617744389774e-06,2.5005415080703538e-05,3.837492209464061e-06,8.341339510514044e-06,-7.881458182249654e-06,-1.7123449165066267e-05,4.043965972772087e-06,1.7442167435968726e-05,4.65669640777834e-06,1.0144631668710725e-05,-1.4124507967732294e-05,-1.5388370802399255e-05,-1.2651849919613407e-08,-0.00015248952924818755
"0.035,0.015,0.465,0.485",1,sgd_accum,1,Dctx,26180,-1.760906557456568e-06,-9.419245476567854e-06,8.862873989648636e-06,6.87244076991365e-05,7.771443078187033e-07,1.6892345746506586e-06,-7.879111740077015e-06,-1.7118351227307435e-05,7.101967432190597e-06,3.063173773248923e-05,-9.837622495321374e-07,-2.1431299782429083e-06,-1.9280036595028902e-05,-2.100521681080304e-05,1.1349341796616271e-08,0.00013679073011764565
"0.035,0.015,0.465,0.485",1,sgd_accum,2,all,61440,2.7931935822082596e-06,1.4941040399324214e-05,8.59854455855295e-06,6.667474710250413e-05,-4.194235881713327e-06,-9.11677302960235e-06,-7.197502259055262e-06,-1.5637469767454062e-05,1.1391738140767767e-05,4.913409395029565e-05,-1.401042299511501e-06,-3.0521762288576094e-06,-8.808617353690151e-06,-9.59681359553905e-06,-1.0985463345965207e-08,-0.00013240499569968346
"0.035,0.015,0.465,0.485",1,sgd_accum,2,Octx,25209,2.3894750295081623e-06,1.2781514026261284e-05,3.06876990440535e-06,2.3795824502470945e-05,-3.0742669589164186e-06,-6.682360002460752e-06,-2.383977975008901e-06,-5.179488962796283e-06,5.458244933919554e-06,2.3542142215082005e-05,-6.847919294028414e-07,-1.491821945251506e-06,1.0994108987803704e-08,1.1977863309136992e-08,-1.0900679531361653e-08,-0.0001313831179459236
"0.035,0.015,0.465,0.485",1,sgd_accum,2,Dctx,26180,1.4659028356773081e-06,7.841244383793507e-06,1.2240288554104789e-05,9.49135214976379e-05,-4.81038394399196e-06,-1.0456059182037095e-05,-8.895807445787148e-06,-1.9327249229491516e-05,1.3706191389785724e-05,5.911664112401e-05,-3.3444811083370225e-06,-7.28596541324184e-06,-1.4859809220220963e-05,-1.6189466907878734e-05,-7.77769317865204e-09,-9.37425577275366e-05
"0.035,0.015,0.465,0.485",1,sgd_quarter,0,all,61440,3.7286404591399143e-06,1.9944828775713026e-05,3.1968868930587237e-07,2.4789267957910297e-06,-3.518575256099604e-05,-7.648127788256704e-05,3.113742341271924e-05,6.76499290625752e-05,4.048329148343886e-06,1.7460986397203378e-05,-3.145711210205408e-05,-6.852944398600602e-05,6.973212774348237e-05,7.597176772517767e-05,-1.1576486773280128e-08,-0.0001395284507500147
