pi0,seed,method,layer,context,n_ctx_rows,delta_MD,z_MD,delta_MO,z_MO,delta_AD,z_AD,delta_AO,z_AO,delta_P_M,z_P_M,delta_P_D,z_P_D,delta_chi,z_chi,delta_det,z_det
"0.035,0.015,0.465,0.485",0,sgd_accum,0,all,61440,1.1075867517901038e-05,6.17625173699146e-05,-2.5678347414795344e-05,-0.00022658947964168707,-3.269069677239838e-05,-7.14005656502934e-05,4.729317666898982e-05,0.00010331838435210365,-1.4602479896629598e-05,-6.73480759688315e-05,-2.1614829254257134e-05,-4.7329816777235046e-05,0.00011673808837452518,0.00012780364398493887,-2.017427285074215e-08,-0.0002398964882785619
"0.035,0.015,0.465,0.485",0,sgd_accum,0,Octx,24774,5.888970344852849e-06,3.283874898530868e-05,-1.3796765400575346e-05,-0.00012174466846934027,-2.104882618384267e-05,-4.597326591918988e-05,2.8956621239458668e-05,6.325968212489251e-05,-7.907795055667727e-06,-3.647152989938264e-05,-1.5159855838977053e-05,-3.31954137036157e-05,6.969118316924226e-05,7.629718189384587e-05,-9.082712353780438e-09,-0.00010800442790859164
"0.035,0.015,0.465,0.485",0,sgd_accum,0,Dctx,26396,4.125086338295425e-06,2.3002777544024884e-05,-1.2118793967900973e-05,-0.00010693800402004504,-1.1042013642728229e-05,-2.4117137224028957e-05,1.9035721271818188e-05,4.158612521520087e-05,-7.993707629236175e-06,-3.686776715307686e-05,-6.916927303992622e-06,-1.5145939767021148e-05,4.632161522172435e-05,5.0712422166889566e-05,-1.2470497363790336e-08,-0.00014828928639925242
"0.035,0.015,0.465,0.485",0,sgd_accum,1,all,61440,1.2185622832462414e-05,6.79508616942914e-05,-1.4644623810659072e-05,-0.00012922629463660702,-7.92501558431214e-06,-1.730922407212317e-05,1.0384016562462149e-05,2.268529817373316e-05,-2.459000978134551e-06,-1.1341154780227498e-05,4.260607248205805e-06,9.32941722764818e-06,4.513927878989792e-05,4.9418012548678425e-05,-5.275718053384677e-09,-6.273466426861754e-05
"0.035,0.015,0.465,0.485",0,sgd_accum,1,Octx,24774,9.047304848930174e-06,5.045061454372257e-05,-1.0858200283077571e-05,-9.581434164140018e-05,-5.504753360731629e-06,-1.2023069023522561e-05,7.315648794949261e-06,1.5982030965519334e-05,-1.8108954341524325e-06,-8.352028157837618e-06,3.5425514881830887e-06,7.757096338228253e-06,3.2725907287490006e-05,3.582798264295718e-05,-3.9112777985209625e-09,-4.650982047725037e-05
"0.035,0.015,0.465,0.485",0,sgd_accum,1,Dctx,26396,8.949664776318037e-06,4.990614281986345e-05,-9.532820671532258e-06,-8.411899880423936e-05,9.434094716827837e-07,2.0605241419898095e-06,-3.6025357659283816e-07,-7.870229938485945e-07,-5.831558950941784e-07,-2.6895724426602086e-06,9.893074248138875e-06,2.166278465677789e-05,1.71788223998167e-05,1.880719594296335e-05,-1.425880716092227e-09,-1.6955445136753114e-05
"0.035,0.015,0.465,0.485",0,sgd_accum,2,all,61440,4.170552867149022e-06,2.3256313194711518e-05,8.761786300758468e-07,7.731527915525503e-06,-1.7547930601135712e-06,-3.832687261566926e-06,-3.291938437089049e-06,-7.19168777955331e-06,5.0467314972203765e-06,2.3276022886190873e-05,2.4157598070237976e-06,5.289769708531275e-06,1.7572288601178324e-06,1.9237958644487084e-06,2.2465720549290128e-09,2.6714457102348372e-05
"0.035,0.015,0.465,0.485",0,sgd_accum,2,Octx,24774,2.2339035792850065e-06,1.245694826119149e-05,1.064094505141684e-06,9.389724981706124e-06,-4.5359600466341314e-07,-9.907103398611568e-07,-2.8444020797466793e-06,-6.2139836658485064e-06,3.297998084421879e-06,1.5210692095249632e-05,1.7803075746105541e-06,3.89832509534377e-06,-1.220997000924312e-06,-1.3367348068281537e-06,1.1962566509245401e-09,1.4224937461679746e-05
"0.035,0.015,0.465,0.485",0,sgd_accum,2,Dctx,26396,1.1021354729927401e-06,6.1458536935997116e-06,1.3688950490308295e-06,1.2079329398949542e-05,3.3642863620214286e-07,7.348021699577692e-07,-2.80745915820839e-06,-6.133276823225154e-06,2.471030522021249e-06,1.1396636221824192e-05,1.4385641091907717e-06,3.1500121934525832e-06,-3.4106473704501846e-06,-3.7339412385504234e-06,-8.511154366215744e-10,-1.0120791261018334e-05
"0.035,0.015,0.465,0.485",0,sgd_quarter,0,all,61440,2.3693299908415476e-06,1.3212128483651496e-05,-5.738930090999192e-06,-5.0641155445629396e-05,-1.0039118369165562e-05,-2.192668865944406e-05,1.3408718469081708e-05,2.9293171362838933e-05,-3.3696001001062855e-06,-1.5540927646058225e-05,-7.66978837799646e-06,-1.6794473570927836e-05,3.15560969204679e-05,3.454728643010563e-05,-5.446143238889257e-09,-6.476122571245502e-05
