seed,step,layer,prompt,base_dec_MD,base_dec_MO,base_dec_AD,base_dec_AO,base_dec_P_M,base_dec_P_D,base_dec_chi,base_dec_det,own_dec_MD,own_dec_MO,own_dec_AD,own_dec_AO,own_dec_P_M,own_dec_P_D,own_dec_chi,own_dec_det,D_p_next_S_M,D_p_next_S_A,O_p_next_S_M,O_p_next_S_A,D_rollout_MD,D_rollout_MO,D_rollout_AD,D_rollout_AO,D_rollout_no_sector,D_rollout_incoherent,O_rollout_MD,O_rollout_MO,O_rollout_AD,O_rollout_AO,O_rollout_no_sector,O_rollout_incoherent
0,0,0,D,0.0127094322789078,0.0017493898517795,1.0349777494365906,-0.0494365715672451,0.0144588221306836,1.047687181715545,-1.0734542785767758,1.457212771067539e-06,0.0127094322789078,0.0017493898517795,1.0349777494365906,-0.0494365715672451,0.0144588221306836,1.047687181715545,-1.0734542785767758,1.457212771067539e-06,0.0001557269715704,1.2112018055177032e-09,0.0003822051512543,3.3557059908595477e-10,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.0,0.001953125,0.0,0.0,0.998046875,0.0
0,0,0,O,-0.0338373043695847,0.0483751219749297,0.0065100164969855,0.9789521658977164,0.0145378176053216,-0.0273272878725221,0.8902297230561516,1.3681885656842764e-05,-0.0338373043695847,0.0483751219749297,0.0065100164969855,0.9789521658977164,0.0145378176053216,-0.0273272878725221,0.8902297230561516,1.3681885656842764e-05,0.0001557269715704,1.2112018055177032e-09,0.0003822051512543,3.3557059908595477e-10,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.0,0.001953125,0.0,0.0,0.998046875,0.0
0,0,1,D,-0.0049844663355356,0.0013003590556222,0.9875506689248738,0.0161334383550153,-0.0036841072799085,0.9825662025893738,-0.9777020559610436,9.852936351727952e-07,-0.0049844663355356,0.0013003590556222,0.9875506689248738,0.0161334383550153,-0.0036841072799085,0.9825662025893738,-0.9777020559610436,9.852936351727952e-07,0.0001557269715704,1.2112018055177032e-09,0.0003822051512543,3.3557059908595477e-10,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.0,0.001953125,0.0,0.0,0.998046875,0.0
0,0,1,O,-0.0028779508166676,0.0098970238296437,-0.0048345852166012,0.9978155122036284,0.007019073012976,-0.0077125360332737,0.9898751227739058,-6.76485911643105e-06,-0.0028779508166676,0.0098970238296437,-0.0048345852166012,0.9978155122036284,0.007019073012976,-0.0077125360332737,0.9898751227739058,-6.76485911643105e-06,0.0001557269715704,1.2112018055177032e-09,0.0003822051512543,3.3557059908595477e-10,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.0,0.001953125,0.0,0.0,0.998046875,0.0
0,0,2,D,-0.0108695994557958,0.0044476746613437,1.011123198192494,-0.0047012733980273,-0.0064219247944704,1.0002535987366898,-1.0311417457076764,-2.3157214433037403e-05,-0.0108695994557958,0.0044476746613437,1.011123198192494,-0.0047012733980273,-0.0064219247944704,1.0002535987366898,-1.0311417457076764,-2.3157214433037403e-05,0.0001557269715704,1.2112018055177032e-09,0.0003822051512543,3.3557059908595477e-10,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.0,0.001953125,0.0,0.0,0.998046875,0.0
0,0,2,O,0.0066023913696922,-0.0082872086894745,-0.0024925896730534,1.0041774069928435,-0.0016848173197921,0.0041098016966333,1.0215595967250564,-1.4209583606370531e-05,0.0066023913696922,-0.0082872086894745,-0.0024925896730534,1.0041774069928435,-0.0016848173197921,0.0041098016966333,1.0215595967250564,-1.4209583606370531e-05,0.0001557269715704,1.2112018055177032e-09,0.0003822051512543,3.3557059908595477e-10,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.0,0.001953125,0.0,0.0,0.998046875,0.0
0,1,0,D,0.5666735162000371,-0.6283821584095328,0.3634940728810196,0.6982145693284867,-0.0617086422095121,0.930167589081117,1.529776171056966,-5.0816599433431246e-05,0.0547814378970663,-0.0499602042272266,1.0372905080061372,-0.0421117416759848,0.0048212336698244,1.0920719459031218,-0.9746606075580077,3.8146549740065505e-06,0.0004199591639917,1.620444223249251e-09,0.000734299654141,2.9698293824154115e-10,0.0029296875,0.0,0.0,0.0,0.9970703125,0.0,0.0,0.0048828125,0.0,0.0,0.9921875,0.0029296875
0,1,0,O,0.2935777710160332,-0.3691315584227279,-0.6104165925780727,1.6859703799847736,-0.0755537874067049,-0.3168388215619571,2.9590963020015764,4.360571957092276e-06,0.0108987181558894,0.0029804865979876,0.0007640959530537,0.9853566992930424,0.0138792047538612,0.0116628141088845,0.9925108348977149,1.5119746174633002e-05,0.0004199591639917,1.620444223249251e-09,0.000734299654141,2.9698293824154115e-10,0.0029296875,0.0,0.0,0.0,0.9970703125,0.0,0.0,0.0048828125,0.0,0.0,0.9921875,0.0029296875
0,1,1,D,0.0766739957114666,0.1112348024443574,0.7648378072416305,0.0472533946025032,0.1879087981558411,0.8415118029531585,-0.7521452193720579,0.0003089529729835,-0.0058891210259107,0.0035950555639009,0.9958681846574284,0.0064258808045855,-0.002294065462012,0.9899790636315218,-0.9989264804426714,1.160996958541726e-05,0.0004199591639917,1.620444223249251e-09,0.000734299654141,2.9698293824154115e-10,0.0029296875,0.0,0.0,0.0,0.9970703125,0.0,0.0,0.0048828125,0.0,0.0,0.9921875,0.0029296875
0,1,1,O,-0.0528238726658567,0.0895664644667652,0.0426839431111788,0.9205734650879164,0.0367425918009037,-0.01013992955468,0.735499184844111,9.057097946449072e-05,0.0044037454523346,0.0041045112566646,-0.0035455350246435,0.9950372783156448,0.0085082567089908,0.0008582104276902,0.998882047535958,2.499591427029303e-06,0.0004199591639917,1.620444223249251e-09,0.000734299654141,2.9698293824154115e-10,0.0029296875,0.0,0.0,0.0,0.9970703125,0.0,0.0,0.0048828125,0.0,0.0,0.9921875,0.0029296875
