pi0,seed,method,layer,context,n_ctx_rows,delta_MD,z_MD,delta_MO,z_MO,delta_AD,z_AD,delta_AO,z_AO,delta_P_M,z_P_M,delta_P_D,z_P_D,delta_chi,z_chi,delta_det,z_det
"0.025,0.025,0.475,0.475",0,sgd_accum,0,all,61440,0.00013873800575608123,0.0009507542350400756,-0.00014287633676043958,-0.000935294662648012,-4.8494663878554025e-05,-0.00010582393140805692,5.263299488280853e-05,0.00011516983697457836,-4.1383310041715895e-06,-1.9086385847487234e-05,9.024334187741793e-05,0.00019774259140779716,0.000382742001279581,0.00041940787947376655,0.0,
"0.025,0.025,0.475,0.475",0,sgd_accum,0,Octx,24594,4.933859853174705e-05,0.0003381112568928823,-4.975932907544366e-05,-0.00032573367960323196,-1.1224733927616661e-05,-2.449435418718512e-05,1.1645464471240646e-05,2.5482233105532565e-05,-4.207305429888108e-07,-1.940450262004778e-06,3.811386460409525e-05,8.351568324693952e-05,0.00012196812601044601,0.00013365241578507513,0.0,
"0.025,0.025,0.475,0.475",0,sgd_accum,0,Dctx,26576,3.6358290649159207e-05,0.0002491588272811173,-3.6641848573701084e-05,-0.00023986425028520487,1.6962995276069342e-05,3.701625508871307e-05,-1.6679437351800006e-05,-3.649741165046156e-05,-2.835579247113081e-07,-1.3077967798364053e-06,5.33212859254399e-05,0.00011683841751355886,3.935770659466416e-05,4.312809205321832e-05,0.0,
"0.025,0.025,0.475,0.475",0,sgd_accum,1,all,61440,-4.205208191718146e-06,-2.8817766809553536e-05,9.179812019708601e-06,6.0092730404625095e-05,-7.592584602564392e-06,-1.6568362123383395e-05,2.6179807745595535e-06,5.728581846424379e-06,4.974603827978596e-06,2.2943357600799992e-05,-1.1797792794094397e-05,-2.5851504071795044e-05,-3.174454833994016e-06,-3.4785609260535227e-06,0.0,
"0.025,0.025,0.475,0.475",0,sgd_accum,1,Octx,24594,-4.5416262165738986e-07,-3.1123197539455783e-06,4.0103159855450515e-06,2.6252262773935e-05,-4.497126970445978e-06,-9.81352623137282e-06,9.409736064601924e-07,2.0590083671791742e-06,3.5561533639426755e-06,1.640132584093201e-05,-4.951289591797519e-06,-1.0849341506240208e-05,9.73621969910341e-07,1.0668929055185782e-06,0.0,
"0.025,0.025,0.475,0.475",0,sgd_accum,1,Dctx,26576,-4.461557605343178e-06,-3.0574497341506976e-05,2.2728189906909584e-06,1.4878289290986962e-05,4.531072771493798e-06,9.887601971554716e-06,-2.342334156860547e-06,-5.125420728694448e-06,-2.1887386146243425e-06,-1.0094675770474625e-05,6.951516632891435e-08,1.5232269601335908e-07,-1.3607783524211927e-05,-1.4911380546549538e-05,0.0,
"0.025,0.025,0.475,0.475",0,sgd_accum,2,all,61440,2.5847142939672973e-06,1.7712724411496103e-05,-3.4436101858976444e-06,-2.2542502839435802e-05,-2.0574694189315038e-06,-4.489762073791164e-06,2.9163653108297487e-06,6.381497350748038e-06,-8.58895891877463e-07,-3.961311547739891e-06,5.272448750556846e-07,1.1553070368516631e-06,1.1002159209510517e-05,1.20561429063619e-05,0.0,
"0.025,0.025,0.475,0.475",0,sgd_accum,2,Octx,24594,1.545326972112283e-06,1.0589932839603399e-05,-2.628145631440814e-06,-1.720432254551541e-05,-1.0053010191926893e-06,-2.193744581175329e-06,2.088119678412145e-06,4.569156732988535e-06,-1.0828186592550656e-06,-4.994065170854578e-06,5.400259529713123e-07,1.1833131303256195e-06,7.266893301056466e-06,7.9630463852121e-06,0.0,
"0.025,0.025,0.475,0.475",0,sgd_accum,2,Dctx,26576,-3.4681511739111973e-06,-2.3766807071974575e-05,6.520059998381101e-06,4.2681506643437036e-05,3.4762273638206632e-06,7.585742774277729e-06,-6.528136188294112e-06,-1.4284658933578041e-05,3.051908824527503e-06,1.4075700889456424e-05,8.0761899182701e-09,1.7696670911296143e-08,-1.9992574724507064e-05,-2.1907821306241538e-05,0.0,
"0.025,0.025,0.475,0.475",0,sgd_quarter,0,all,61440,3.519310663311315e-05,0.0002411739666668999,-3.606070515271852e-05,-0.00023605997903775996,-1.229036014641266e-05,-2.6819739020594905e-05,1.315795866639981e-05,2.8791824556091912e-05,-8.675985194501861e-07,-4.0014489141256486e-06,2.2902746486650707e-05,5.018484850414666e-05,9.670213059858216e-05,0.00010596599118820122,0.0,
"0.025,0.025,0.475,0.475",0,sgd_quarter,0,Octx,24594,1.250816761579353e-05,8.571691129981202e-05,-1.2516090671299148e-05,-8.193262136691312e-05,-2.9233397584618007e-06,-6.379244257814443e-06,2.9312628139672526e-06,6.414095590910789e-06,-7.923055022757266e-09,-3.654190182051149e-08,9.584827856993434e-06,2.1002421444166427e-05,3.0878860862151534e-05,3.383699074432199e-05,0.0,
"0.025,0.025,0.475,0.475",0,sgd_quarter,0,Dctx,26576,9.435046044309755e-06,6.465719278246449e-05,-9.362680320111973e-06,-6.128981978424408e-05,4.7777073823940235e-06,1.042580230246371e-05,-4.850073105685402e-06,-1.0612774935956075e-05,7.23657240835175e-08,3.3375777109141683e-07,1.4212753427143603e-05,3.1143202758836484e-05,9.169945874497965e-06,1.0048407389977202e-05,0.0,
"0.025,0.025,0.475,0.475",0,sgd_quarter,1,all,61440,-1.1409154633150256e-06,-7.818551251749733e-06,2.3303174957507206e-06,1.5254685033711e-05,-1.9202451925636236e-06,-4.190314547872747e-06,7.308431602066627e-07,1.5992076415640131e-06,1.189402032392277e-06,5.485638073692191e-06,-3.06116065589611e-06,-6.707662063698039e-06,-8.20144606116956e-07,-8.987127332860891e-07,0.0,
"0.025,0.025,0.475,0.475",0,sgd_quarter,1,Octx,24594,-3.2419871722870764e-07,-2.2216933400474735e-06,1.24113142467412e-06,8.124673570605171e-06,-1.0744784135715221e-06,-2.344701887654798e-06,1.5754570618657552e-07,3.447364782861568e-07,9.16932707446635e-07,4.228982996494487e-06,-1.3986771307600913e-06,-3.0648027281061095e-06,-3.333060220191843e-07,-3.6523603744442355e-07,0.0,
