key_feature,paired_feature,abs_interaction_score,signed_interaction_sum,pair_count
628,1911,0.2545487880706787,0.2545487880706787,4049
628,1046,0.15665097534656525,0.15581773221492767,1964
628,2793,0.13798688352108002,0.13798688352108002,2101
628,447,0.1367741823196411,0.1352916955947876,2101
628,2259,0.13571321964263916,-0.13204118609428406,2033
628,999,0.12466025352478027,-0.12466025352478027,1698
628,2944,0.12296852469444275,-0.12296852469444275,2097
628,2449,0.1209440752863884,-0.11716364324092865,1962
628,2723,0.10906423628330231,0.1005963608622551,2097
628,647,0.10895989090204239,-0.0844041183590889,2244
628,1880,0.10185092687606812,-0.10185092687606812,2027
628,163,0.09832506626844406,0.09832506626844406,2391
832,658,13.490527153015137,13.490527153015137,45077
832,2767,7.704766750335693,-7.704766750335693,24486
832,83,7.310421943664551,7.310421943664551,25590
832,1908,5.599717140197754,5.599717140197754,44161
832,1880,4.918288707733154,4.918288707733154,24215
832,168,4.642172336578369,4.642172336578369,23602
832,647,4.510768413543701,4.474453926086426,29075
832,1911,4.5016045570373535,4.5016045570373535,47104
832,447,4.166304111480713,4.166304111480713,25831
832,2224,3.625800609588623,3.625800609588623,4193
832,2325,3.4995076656341553,3.4995076656341553,24151
832,1046,3.3862292766571045,3.3862292766571045,23596
1307,2793,6.628917694091797,-6.628917694091797,9192
1307,658,4.247015476226807,4.247015476226807,16661
1307,83,3.949230194091797,3.949230194091797,9673
1307,2116,3.6809487342834473,-3.680428981781006,8755
1307,1267,2.287970542907715,2.287970542907715,7316
1307,1046,2.1438345909118652,2.1438345909118652,8850
1307,562,1.959407925605774,1.959407925605774,8888
1307,192,1.8865293264389038,-1.8864396810531616,8696
1307,647,1.7795789241790771,1.7795789241790771,10606
1307,168,1.5609184503555298,1.5609184503555298,8853
1307,447,1.3816715478897095,1.3816715478897095,9541
1307,2017,1.3442522287368774,1.3442522287368774,8882
2801,2793,36.59575653076172,-36.59505844116211,45346
2801,2116,28.372453689575195,-28.372453689575195,43147
2801,658,20.550718307495117,20.550718307495117,82986
2801,192,16.83837890625,-16.83837890625,43093
2801,83,13.786410331726074,13.786410331726074,48240
2801,447,12.745047569274902,12.745047569274902,47378
2801,1911,10.45671272277832,10.45671272277832,87348
2801,999,10.088700294494629,-10.088700294494629,40744
2801,739,9.511431694030762,-2.8972220420837402,97093
2801,2723,9.191790580749512,9.103616714477539,47205
2801,1046,8.253833770751953,8.253833770751953,43785
2801,168,7.456682205200195,-7.456682205200195,43802
